timestamp,event,src,dst
357,fire,6,
371,fire,6,
371,hit,4,6.0
371,dead,4,6.0
722,fire,6,
767,fire,9,
767,hit,1,9.0
767,dead,1,9.0
767,fire,5,
768,fire,6,
769,hit,9,6.0
769,fire,6,
769,dead,9,6.0
786,fire,4,
801,fire,4,
975,fire,4,
975,hit,0,4.0
990,fire,0,
990,fire,4,
990,hit,0,4.0
1005,fire,4,
1005,hit,0,4.0
1006,hit,0,4.0
1006,dead,0,4.0
1006,fire,4,
1020,fire,4,
1020,fire,3,
1020,fire,5,
1021,hit,3,5.0
1021,fire,4,
1021,fire,5,
1039,hit,5,3.0
1039,fire,4,
1039,fire,5,
1039,hit,3,5.0
1058,fire,5,
1058,hit,3,5.0
1058,dead,3,5.0
1073,fire,5,
1217,fire,6,
1231,fire,6,
1232,fire,6,
1232,fire,9,
1247,fire,6,
1247,hit,4,6.0
1247,fire,9,
1262,fire,6,
1262,hit,4,6.0
1262,fire,9,
1262,fire,4,
1277,fire,6,
1277,hit,4,6.0
1277,dead,4,6.0
1277,fire,9,
1291,fire,6,
1306,fire,9,
1306,fire,6,
1322,fire,9,
1336,fire,9,
1350,fire,9,
1363,fire,9,
1379,fire,9,
1410,fire,9,
1410,hit,1,9.0
1425,fire,9,
1425,hit,1,9.0
1425,fire,1,
1425,hit,9,1.0
1425,dead,9,1.0
1619,fire,4,
1634,fire,4,
1649,fire,4,
1663,fire,4,
1678,fire,4,
1692,fire,4,
1707,fire,4,
1708,fire,3,
1709,hit,4,3.0
1725,fire,3,
1725,hit,4,3.0
1725,dead,4,3.0
1739,fire,3,
1754,fire,3,
1901,fire,7,
1915,fire,7,
1931,fire,7,
1944,fire,7,
1960,fire,7,
1960,hit,3,7.0
1960,dead,3,7.0
1974,fire,7,
1987,fire,7,
2004,fire,8,
2047,fire,4,
2062,fire,4,
2105,fire,4,
2123,fire,9,
2123,hit,0,9.0
2138,fire,9,
2154,fire,9,
2167,fire,9,
2182,fire,9,
2182,hit,0,9.0
2182,dead,0,9.0
2198,fire,9,
2212,fire,9,
2422,fire,5,
2503,fire,5,
2518,fire,5,
2548,fire,5,
2562,fire,5,
2577,fire,5,
2592,fire,5,
2592,fire,6,
2620,fire,6,
2639,fire,6,
2671,fire,6,
2700,fire,2,
2700,fire,4,
2700,fire,6,
2715,fire,4,
2715,hit,6,4.0
2715,fire,2,
2733,fire,6,
2733,fire,4,
2733,hit,6,4.0
2733,hit,1,4.0
2733,hit,2,4.0
2749,fire,2,
2749,fire,4,
2750,hit,6,4.0
2750,hit,1,4.0
2750,dead,1,4.0
2750,fire,2,
2750,fire,4,
2764,fire,4,
2778,fire,4,
2778,fire,2,
2792,fire,2,
2792,fire,4,
2792,hit,6,4.0
2807,fire,4,
2823,fire,4,
2837,fire,4,
2837,hit,6,4.0
2837,dead,6,4.0
2852,fire,4,
2867,fire,4,
2895,fire,5,
2910,fire,5,
3018,fire,0,
3062,fire,2,
3062,fire,3,
3077,fire,0,
3077,fire,3,
3077,hit,5,3.0
3077,dead,5,3.0
3077,fire,2,
3077,hit,8,2.0
3092,fire,3,
3092,fire,2,
3107,fire,3,
3107,fire,2,
3107,fire,8,
3122,fire,2,
3122,fire,8,
3137,fire,2,
3137,fire,8,
3137,fire,0,
3152,fire,8,
3167,fire,2,
3182,fire,8,
3182,hit,2,8.0
3182,fire,2,
3197,fire,8,
3197,hit,2,8.0
3197,dead,2,8.0
3212,fire,8,
3226,fire,8,
3240,fire,8,
3441,fire,3,
3442,hit,8,3.0
3442,fire,3,
3456,fire,3,
3471,fire,3,
3486,fire,3,
3500,fire,3,
3521,fire,4,
3535,fire,8,
3535,hit,6,8.0
3535,fire,4,
3550,fire,4,
3550,fire,8,
3550,hit,6,8.0
3550,hit,0,4.0
3564,fire,4,
3564,hit,0,4.0
3564,fire,8,
3564,hit,6,8.0
3564,dead,6,8.0
