timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
0,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
1,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
2,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
3,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
4,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
5,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
6,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
7,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
8,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
9,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
10,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
11,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
12,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
13,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
14,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
15,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
16,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
17,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
18,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
19,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
20,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
21,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
22,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
23,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
24,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
25,0.0,-2019.074219,-48.974564,-102.0056,1.0,0.0,0.0,0.0092739094,318.679317788,2345.3988130143,6.0
