timestamp,event,src,dst
1,fire,4,
27,fire,4,
54,fire,4,
205,fire,7,
218,fire,0,
218,hit,7,0.0
231,fire,0,
231,hit,7,0.0
243,fire,0,
244,hit,7,0.0
244,fire,3,
257,fire,0,
257,hit,7,0.0
258,hit,7,0.0
258,dead,7,0.0
258,fire,0,
271,fire,0,
283,fire,0,
296,fire,0,
605,fire,4,
618,fire,4,
618,fire,0,
619,fire,4,
631,fire,0,
631,hit,4,0.0
631,fire,4,
632,fire,0,
632,fire,4,
644,fire,0,
644,fire,4,
656,fire,0,
657,fire,4,
657,fire,0,
657,hit,0,4.0
670,fire,0,
670,fire,4,
670,hit,0,4.0
670,dead,0,4.0
671,fire,4,
683,fire,4,
695,fire,4,
894,fire,3,
894,hit,4,3.0
907,fire,3,
908,hit,4,3.0
921,fire,3,
921,hit,4,3.0
921,dead,4,3.0
922,fire,3,
934,fire,3,
947,fire,3,
1034,fire,7,
1048,fire,7,
1381,fire,7,
1394,fire,7,
1395,fire,7,
1395,hit,3,7.0
1407,fire,7,
1407,hit,3,7.0
1408,fire,7,
1408,hit,3,7.0
1408,fire,3,
1408,hit,7,3.0
1422,fire,7,
1422,hit,3,7.0
1422,fire,3,
1422,hit,7,3.0
1423,hit,3,7.0
1423,fire,3,
1423,hit,7,3.0
1423,fire,7,
1436,fire,3,
1437,hit,7,3.0
1437,dead,7,3.0
1437,fire,3,
1450,fire,3,
1450,fire,4,
1451,hit,3,4.0
1451,dead,3,4.0
1463,fire,0,
1463,hit,6,0.0
1476,fire,0,
1488,fire,0,
1501,fire,0,
1501,hit,6,0.0
1502,hit,6,0.0
1514,fire,0,
1515,hit,6,0.0
1515,dead,6,0.0
1515,fire,0,
1528,fire,0,
1529,fire,0,
1542,fire,0,
1920,fire,1,
2167,fire,0,
2346,fire,4,
2359,fire,3,
2359,fire,4,
2360,hit,3,4.0
2360,fire,4,
2373,fire,3,
2373,hit,4,3.0
2373,fire,4,
2374,fire,4,
2374,hit,3,4.0
2387,fire,3,
2387,hit,4,3.0
2387,fire,4,
2387,hit,3,4.0
2400,fire,3,
2400,hit,4,3.0
2401,dead,4,3.0
2401,fire,3,
2414,fire,3,
2427,fire,3,
2577,fire,0,
2591,fire,0,
2591,hit,7,0.0
2604,fire,0,
2605,hit,7,0.0
2605,fire,0,
2618,fire,0,
2618,hit,7,0.0
2619,hit,7,0.0
2632,fire,0,
2632,hit,7,0.0
2632,dead,7,0.0
2750,fire,2,
2750,hit,0,2.0
2763,fire,6,
2763,hit,0,6.0
2776,fire,6,
2777,fire,6,
2777,hit,0,6.0
2777,dead,0,6.0
2790,fire,6,
2803,fire,6,
2816,fire,6,
2817,fire,6,
2830,fire,6,
2831,fire,2,
2843,fire,2,
2856,fire,2,
2884,fire,3,
2897,fire,1,
2897,fire,3,
2898,fire,1,
2898,hit,2,1.0
2911,fire,3,
2911,fire,1,
2924,fire,1,
2924,fire,3,
2937,fire,3,
2937,fire,1,
2951,fire,3,
2951,fire,1,
2952,fire,1,
2952,fire,3,
2964,fire,1,
2964,hit,2,1.0
2964,fire,3,
2977,fire,1,
2978,fire,1,
2978,fire,3,
2991,fire,1,
3004,fire,3,
3004,fire,1,
3018,fire,1,
3031,fire,1,
3031,fire,3,
3045,fire,1,
3045,fire,3,
