timestamp,event,src,dst
8,fire,8,
15,fire,6,
181,fire,3,
181,hit,8,3.0
191,fire,3,
191,hit,8,3.0
203,fire,3,
203,hit,8,3.0
203,dead,8,3.0
224,fire,3,
490,fire,0,
563,fire,3,
679,fire,7,
688,fire,7,
716,fire,4,
721,fire,4,
725,fire,4,
730,fire,4,
734,fire,4,
740,fire,4,
743,fire,4,
747,fire,4,
751,fire,4,
757,fire,4,
763,fire,4,
766,fire,4,
769,fire,4,
774,fire,4,
778,fire,4,
782,fire,4,
787,fire,4,
787,hit,6,4.0
791,fire,4,
797,fire,4,
800,fire,4,
804,fire,4,
804,hit,6,4.0
809,fire,4,
813,fire,4,
813,hit,6,4.0
819,fire,4,
822,fire,4,
822,hit,6,4.0
822,dead,6,4.0
825,fire,4,
830,fire,4,
834,fire,4,
839,fire,4,
843,fire,4,
884,fire,8,
978,fire,9,
985,fire,7,
1008,fire,7,
1021,fire,1,
1021,hit,0,1.0
1029,fire,1,
1029,hit,0,1.0
1032,fire,7,
1035,fire,1,
1036,hit,0,1.0
1042,fire,8,
1044,fire,1,
1049,fire,1,
1057,fire,1,
1057,hit,0,1.0
1057,dead,0,1.0
1067,fire,8,
1070,fire,1,
1073,fire,8,
1085,fire,7,
1089,fire,5,
1089,hit,1,5.0
1097,fire,5,
1097,hit,1,5.0
1102,fire,5,
1102,hit,1,5.0
1105,fire,7,
1108,fire,1,
1117,fire,5,
1117,hit,1,5.0
1117,dead,1,5.0
1121,fire,7,
1122,fire,5,
1133,fire,5,
1139,fire,7,
1142,fire,5,
1148,fire,9,
1148,hit,7,9.0
1148,dead,7,9.0
1346,fire,9,
1408,fire,4,
1413,fire,4,
1416,fire,4,
1421,fire,4,
1425,fire,4,
1430,fire,4,
1434,fire,4,
1439,fire,4,
1442,fire,2,
1445,fire,4,
1448,fire,2,
1480,fire,3,
1480,hit,1,3.0
1492,fire,3,
1493,hit,1,3.0
1501,fire,6,
1501,fire,1,
1504,fire,4,
1504,hit,6,4.0
1507,fire,3,
1507,hit,1,3.0
1507,dead,1,3.0
1510,fire,4,
1510,fire,6,
1513,fire,4,
1516,fire,6,
1519,fire,4,
1519,fire,3,
1522,fire,4,
1522,fire,6,
1522,hit,8,6.0
1526,fire,4,
1526,hit,6,4.0
1529,fire,6,
1529,hit,8,6.0
1532,fire,4,
1532,hit,6,4.0
1532,dead,6,4.0
1534,fire,4,
1537,fire,8,
1540,fire,4,
1543,fire,4,
1546,fire,8,
1549,fire,4,
1552,fire,8,
1557,fire,8,
1564,fire,8,
1581,fire,7,
1581,hit,2,7.0
1588,fire,7,
1588,hit,2,7.0
1593,fire,7,
1593,hit,2,7.0
1601,fire,7,
1601,hit,2,7.0
1601,dead,2,7.0
1607,fire,7,
1613,fire,7,
1620,fire,7,
1807,fire,0,
1847,fire,2,
1859,fire,2,
1866,fire,2,
1887,fire,3,
1896,fire,4,
1899,fire,3,
1902,fire,4,
1905,fire,4,
1913,fire,3,
1923,fire,3,
1934,fire,3,
1948,fire,3,
1948,hit,2,3.0
1954,fire,2,
1954,hit,3,2.0
1954,dead,3,2.0
1962,fire,2,
1966,fire,9,
1972,fire,2,
1991,fire,8,
2030,fire,9,
2042,fire,0,
2057,fire,6,
2070,fire,8,
2073,fire,0,
2075,fire,9,
2076,fire,8,
2096,fire,8,
2141,fire,4,
2146,fire,4,
2150,fire,4,
2155,fire,4,
2159,fire,4,
2164,fire,4,
2167,fire,4,
2204,fire,2,
2373,fire,2,
2390,fire,0,
2400,fire,2,
2407,fire,0,
2407,hit,2,0.0
2415,fire,2,
2424,fire,0,
2424,hit,2,0.0
2424,dead,2,0.0
2443,fire,0,
2486,fire,4,
2491,fire,4,
2495,fire,4,
2498,fire,9,
2498,hit,0,9.0
2499,dead,0,9.0
2501,fire,4,
2504,fire,4,
2510,fire,4,
2510,hit,6,4.0
2513,fire,4,
2513,hit,6,4.0
2513,dead,6,4.0
2519,fire,4,
2522,fire,4,
2526,fire,4,
2530,fire,4,
2713,fire,7,
2719,fire,7,
2719,hit,8,7.0
2722,fire,8,
2722,hit,7,8.0
2725,fire,7,
2728,fire,8,
2731,fire,7,
2731,hit,8,7.0
2731,dead,8,7.0
2737,fire,7,
2744,fire,7,
2751,fire,7,
2833,fire,6,
2840,fire,6,
2840,fire,1,
2840,hit,6,1.0
2846,fire,6,
2849,fire,1,
2853,fire,6,
2859,fire,6,
2859,hit,1,6.0
2862,fire,1,
2865,fire,6,
2865,hit,1,6.0
2868,fire,1,
2871,fire,6,
2878,fire,6,
2878,hit,1,6.0
2878,dead,1,6.0
2886,fire,6,
2890,fire,6,
2896,fire,6,
2912,fire,2,
2960,fire,9,
2960,hit,5,9.0
2960,dead,5,9.0
3107,fire,9,
3117,fire,6,
3149,fire,7,
3206,fire,2,
3232,fire,2,
3256,fire,7,
3256,fire,8,
3256,hit,0,8.0
3259,fire,2,
3265,fire,9,
3265,fire,8,
3271,fire,7,
3275,fire,0,
3275,hit,8,0.0
3275,fire,8,
3275,hit,0,8.0
3282,fire,7,
3282,hit,9,7.0
3284,fire,2,
3285,fire,0,
3288,fire,8,
3288,hit,0,8.0
3288,dead,0,8.0
3290,fire,7,
3293,fire,8,
3297,fire,7,
3297,hit,9,7.0
3303,fire,8,
3309,fire,7,
3309,hit,9,7.0
3312,fire,8,
3320,fire,7,
3320,hit,9,7.0
3320,dead,9,7.0
3327,fire,7,
3336,fire,7,
3468,fire,3,
3468,hit,8,3.0
3469,dead,8,3.0
3525,hit,0,
3581,fire,4,
3582,hit,5,4.0
3586,fire,4,
3587,hit,5,4.0
3590,fire,4,
3590,hit,5,4.0
3595,fire,4,
3595,hit,5,4.0
3595,dead,5,4.0
3601,fire,4,
3604,fire,3,
3607,fire,4,
3610,fire,4,
3613,fire,4,
3625,fire,3,
3670,fire,3,
3709,fire,6,
3759,fire,0,
3759,hit,9,0.0
3759,fire,4,
3764,fire,4,
3767,fire,0,
3767,fire,9,
3767,hit,0,9.0
3767,dead,0,9.0
3770,fire,4,
3770,hit,3,4.0
3773,fire,4,
3773,hit,3,4.0
3773,dead,3,4.0
3777,fire,4,
3782,fire,4,
3787,fire,4,
3793,fire,4,
4015,fire,3,
4015,hit,4,3.0
4021,fire,3,
4021,hit,4,3.0
4026,fire,3,
4032,fire,3,
4032,hit,4,3.0
4032,dead,4,3.0
4038,fire,3,
4040,fire,3,
4045,fire,3,
4050,fire,3,
4055,fire,3,
4076,fire,0,
4134,fire,0,
4150,fire,0,
4300,fire,9,
4329,fire,4,
4333,fire,4,
4339,fire,4,
4339,hit,5,4.0
4342,fire,4,
4346,fire,4,
4351,fire,4,
4387,fire,3,
4393,fire,3,
4398,fire,3,
4403,fire,3,
4403,hit,4,3.0
4406,fire,4,
4406,hit,3,4.0
4409,fire,3,
4409,hit,4,3.0
4409,dead,4,3.0
4416,fire,3,
4419,fire,3,
4422,fire,3,
4427,fire,3,
4433,fire,3,
4635,fire,4,
4642,fire,4,
4645,fire,4,
4657,fire,8,
4670,fire,4,
4675,fire,4,
4679,fire,4,
4684,fire,4,
4694,fire,8,
4712,fire,8,
4719,fire,8,
4743,fire,3,
4748,fire,3,
4751,fire,2,
4752,hit,6,2.0
4754,fire,3,
4758,fire,2,
4758,fire,3,
4759,hit,2,3.0
4764,fire,3,
4764,hit,2,3.0
4764,dead,2,3.0
4768,fire,3,
4773,fire,3,
4776,fire,7,
4779,fire,3,
4782,fire,7,
4785,fire,3,
4788,fire,7,
4990,fire,7,
5013,fire,7,
5030,fire,7,
5045,fire,4,
5051,fire,4,
5054,fire,4,
5059,fire,4,
5059,fire,3,
5063,fire,4,
5063,fire,3,
5063,fire,1,
5066,fire,3,
5069,fire,4,
5069,hit,0,4.0
5072,fire,1,
5075,fire,4,
5078,fire,4,
5080,fire,4,
5085,fire,4,
5085,hit,0,4.0
5091,fire,4,
5091,hit,0,4.0
5094,fire,4,
5094,fire,6,
5097,fire,0,
5100,fire,4,
5100,fire,1,
5103,fire,6,
5103,hit,1,6.0
5103,fire,0,
5106,fire,4,
5106,hit,0,4.0
5106,dead,0,4.0
5109,fire,1,
5109,fire,4,
5109,fire,6,
5109,hit,1,6.0
5112,fire,2,
5115,fire,4,
5115,fire,1,
5115,fire,6,
5115,hit,1,6.0
5118,fire,4,
5121,fire,6,
5121,hit,1,6.0
5121,dead,1,6.0
5125,fire,6,
5132,fire,6,
5138,fire,6,
5145,fire,6,
5228,fire,4,
5338,fire,4,
5343,fire,4,
5349,fire,4,
5352,fire,4,
5355,fire,3,
5358,fire,4,
5361,fire,3,
5364,fire,4,
5367,fire,3,
5384,fire,3,
5390,fire,3,
5395,fire,3,
5424,fire,8,
5452,fire,9,
5487,fire,4,
5492,fire,4,
5495,fire,4,
5500,fire,4,
5506,fire,4,
5520,fire,3,
5527,fire,3,
5531,fire,3,
5534,fire,4,
5534,hit,5,4.0
5537,fire,3,
5539,fire,4,
5542,fire,4,
5543,hit,5,4.0
5543,dead,5,4.0
5548,fire,4,
5551,fire,4,
5555,fire,4,
5561,fire,4,
5706,fire,8,
5762,fire,0,
5768,fire,0,
5774,fire,0,
5780,fire,0,
5785,fire,0,
5788,fire,3,
5788,hit,2,3.0
5791,fire,0,
5794,fire,3,
5797,fire,0,
5800,fire,3,
