timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
0,0.0,306.655823,2330.584717,65.842751,0.3517425714,-0.9306762198,0.1005929294,,,,
1,0.0,307.496094,2327.963867,65.813744,0.3517425714,-0.9306762198,0.1005929294,,,,
2,0.0,307.648071,2327.383301,65.813744,0.3517425714,-0.9306762198,0.1005929294,,,,
3,0.0,309.637299,2317.503906,65.897438,0.3517425714,-0.9306762198,0.1005929294,,,,
4,0.0,310.039261,2315.7497555,65.742176,0.3517425714,-0.9306762198,0.1005929294,,,,
5,0.0,311.277802,2311.143799,65.388268,0.3517425714,-0.9306762198,0.1005929294,,,,
6,0.0,312.12619,2308.2854,65.399117,0.3517425714,-0.9306762198,0.1005929294,,,,
7,0.0,313.275482,2304.565674,65.119156,0.3517425714,-0.9306762198,0.1005929294,,,,
8,0.0,314.347473,2301.089844,64.831955,0.3481099732,-0.9318335981,0.1024967904,,,,
9,0.0,315.223755,2298.298584,64.523872,0.3435586572,-0.933256688,0.1048780405,,,,
10,0.0,316.21167,2295.065674,64.291458,0.3395034704,-0.9344995261,0.1069954641,,,,
11,0.0,317.180908,2292.040039,63.931469,0.3386218157,-0.9348337536,0.1068696359,,,,
12,0.0,318.272644,2288.70459,63.695732,0.3381647138,-0.9350569007,0.106363616,,,,
13,0.0,319.344299,2285.452148,63.53299,0.3381201844,-0.9350785908,0.1063144859,,,,
14,0.0,320.547119,2282.19873,63.567242,0.33723138,-0.935399499,0.1063145033,,,,
15,0.0,321.543549,2279.431152,63.643749,0.3372235279,-0.9354023318,0.1063144859,,,,
16,0.0,322.612305,2276.603271,63.794506,0.3372235279,-0.9354023318,0.1063144859,,,,
17,0.0,323.982147,2272.887207,64.052368,0.3372235279,-0.9354023318,0.1063144859,,,,
18,0.0,325.078339,2269.974609,64.405594,0.3372235279,-0.9354023318,0.1063144859,,,,
19,0.0,326.197662,2266.794678,64.859009,0.3269725493,-0.9388307408,0.1081008424,,,,
20,0.0,326.971436,2263.859863,64.789032,0.2793423036,-0.9535129792,0.1130525356,,,,
21,0.0,327.877563,2260.299072,65.317909,0.1603426995,-0.9795909339,0.1212098224,,,,
22,0.0,328.456024,2257.275391,65.736671,0.0292620151,-0.9916323309,0.1257340637,,,,
23,0.0,328.911804,2253.646973,65.96933,-0.156308651,-0.9795984585,0.1263109883,,,,
24,0.0,327.914368,2250.498047,65.701683,-0.3275551177,-0.9370072557,0.1213468069,0.1179369272,1051.7841741364,2232.4649074839,9.0
25,0.0,327.096893,2247.096924,65.51384,-0.4713842563,-0.8745488354,0.1138473424,0.0603686322,762.9137926228,2229.5139749985,9.0
26,0.0,325.8125,2244.005371,65.029747,-0.6010315321,-0.7922856794,0.1050928141,0.0263610585,507.8413000758,2226.4489502671,9.0
27,0.0,325.074982,2241.249268,64.902473,-0.6720580322,-0.7336218667,0.1006824617,0.0172971023,411.8688503793,2224.0443860857,9.0
28,0.0,324.500214,2238.163574,64.849792,-0.7238427463,-0.68306699,0.0973199146,0.0160876874,396.904892527,2221.6641485967,9.0
29,0.0,324.152863,2234.735352,64.875565,-0.7412976163,-0.664162713,0.0967767264,0.0169983101,407.4612120344,2219.329862508,9.0
30,0.0,323.984375,2232.32959,64.831085,-0.7414969172,-0.6639402009,0.096776709,0.016986703,407.0093326384,2217.6193763759,9.0
31,0.0,323.664795,2228.369629,64.614571,-0.7414969172,-0.6639402009,0.096776709,0.0169334009,405.836799325,2214.6784461733,9.0
32,0.0,323.375305,2224.904785,64.273689,-0.7408034181,-0.6645768432,0.0977134344,0.016984464,405.9501269704,2211.9927572792,9.0
33,0.0,323.119324,2221.626709,63.642448,-0.7407906345,-0.6645885233,0.0977309084,0.0169032825,404.4909792291,2209.2830873301,9.0
34,0.0,322.818207,2218.706787,63.64817,-0.7407906345,-0.6645885233,0.0977309084,0.0168776887,403.7430019198,2206.8548581468,9.0
35,0.0,322.536499,2215.707031,63.279804,-0.7407906345,-0.6645885233,0.0977309084,0.0168214234,402.6394100841,2204.4690144092,9.0
36,0.0,322.182617,2211.575684,63.03442,-0.7407906345,-0.6645885233,0.0977309084,0.0167672903,401.4182541674,2201.2979910029,9.0
37,0.0,321.858276,2208.419678,62.778488,-0.7407906345,-0.6645885233,0.0977309084,0.0167218877,400.4325381598,2198.8464336417,9.0
38,0.0,321.534149,2204.984863,62.800011,-0.7407906345,-0.6645885233,0.0977309084,0.016696946,399.6588207981,2196.222524896,9.0
39,0.0,321.17865,2202.196777,62.830906,-0.7407906345,-0.6645885233,0.0977309084,0.0166802966,399.0630017143,2194.0333097077,9.0
40,0.0,320.604004,2198.580078,62.948799,-0.7407906345,-0.6645885233,0.0977309084,0.0166676456,398.3829505081,2191.118503174,9.0
41,0.0,320.163055,2195.366211,63.064709,-0.7407906345,-0.6645885233,0.0977309084,0.0166569129,397.7956663287,2188.5872614149,9.0
42,0.0,319.884918,2192.334961,63.060013,-0.7407906345,-0.6645885233,0.0977309084,0.0166279812,397.0317495533,2186.2679319618,9.0
43,0.0,318.982727,2185.846191,63.370827,-0.7407906345,-0.6645885233,0.0977309084,0.0166208445,396.0175409235,2181.147355008,9.0
44,0.0,318.445984,2182.58252,63.588009,-0.7407906345,-0.6645885233,0.0977309084,0.0166261312,395.6037613429,2178.5248453151,9.0
