timestamp,event,src,dst
81,fire,3,
82,fire,3,
499,fire,3,
524,fire,3,
935,fire,1,
1089,fire,6,
1089,hit,0,6.0
1098,fire,6,
1098,hit,0,6.0
1108,fire,6,
1108,hit,0,6.0
1116,fire,6,
1116,hit,0,6.0
1127,fire,6,
1127,hit,0,6.0
1127,dead,0,6.0
1134,fire,6,
1139,fire,6,
1148,fire,6,
1255,fire,4,
1263,fire,4,
1269,fire,4,
1273,fire,3,
1273,hit,4,3.0
1276,fire,4,
1276,hit,3,4.0
1276,dead,3,4.0
1280,fire,4,
1286,fire,4,
1294,fire,4,
1364,fire,1,
1463,fire,4,
1463,hit,7,4.0
1463,dead,7,4.0
1470,fire,4,
1475,fire,4,
1482,fire,4,
1535,fire,6,
1535,hit,0,6.0
1554,fire,6,
1554,hit,0,6.0
1560,fire,6,
1570,fire,6,
1584,fire,6,
1596,fire,6,
1596,hit,0,6.0
1604,fire,0,
1606,fire,6,
1606,hit,0,6.0
1606,dead,0,6.0
1608,fire,3,
1608,hit,1,3.0
1614,fire,3,
1617,fire,6,
1624,fire,3,
1624,hit,1,3.0
1627,fire,6,
1631,fire,3,
1631,hit,1,3.0
1641,fire,3,
1641,hit,1,3.0
1650,fire,3,
1652,fire,1,
1652,hit,3,1.0
1662,fire,1,
1662,fire,3,
1662,hit,1,3.0
1671,fire,3,
1671,hit,1,3.0
1671,dead,1,3.0
1680,fire,3,
1895,fire,4,
1895,hit,2,4.0
1895,dead,2,4.0
1901,fire,4,
1908,fire,4,
1914,fire,4,
1944,hit,3,
1960,fire,0,
1962,fire,4,
1967,fire,4,
1967,fire,0,
1972,fire,6,
1974,fire,4,
1976,fire,0,
1976,hit,6,0.0
1979,fire,4,
1981,fire,6,
1983,fire,0,
1983,hit,6,0.0
1987,fire,6,
1987,hit,0,6.0
1991,fire,0,
1991,hit,6,0.0
1994,fire,6,
1994,hit,0,6.0
1994,dead,0,6.0
1999,fire,6,
2006,fire,6,
2013,fire,6,
2019,fire,4,
2024,fire,4,
2029,fire,4,
2201,fire,1,
2201,hit,3,1.0
2210,fire,1,
2210,hit,3,1.0
2221,fire,1,
2221,hit,3,1.0
2221,dead,3,1.0
2229,fire,1,
2240,fire,1,
2341,fire,6,
2343,fire,6,
2346,fire,6,
2348,fire,6,
2350,fire,6,
2352,fire,6,
2354,fire,6,
2358,fire,6,
2501,fire,3,
2507,fire,3,
2507,hit,0,3.0
2514,fire,3,
2514,hit,0,3.0
2522,fire,3,
2522,hit,0,3.0
2531,fire,3,
2531,hit,0,3.0
2531,dead,0,3.0
2539,fire,3,
2547,fire,3,
2563,fire,7,
2573,fire,2,
2581,fire,2,
2589,fire,2,
2589,hit,4,2.0
2598,fire,2,
2598,hit,4,2.0
2598,dead,4,2.0
2604,fire,1,
2608,fire,2,
2615,fire,2,
2625,fire,1,
2643,fire,1,
2661,fire,1,
2669,fire,1,
2676,fire,1,
2687,fire,1,
2711,fire,1,
2732,fire,1,
2780,hit,3,
2808,fire,1,
2819,fire,1,
2831,fire,1,
2859,fire,1,
2880,fire,1,
2894,fire,1,
2905,fire,1,
2913,fire,1,
2921,fire,1,
3147,fire,4,
3154,fire,4,
3159,fire,4,
3167,fire,4,
3172,fire,4,
3178,fire,4,
3181,fire,3,
3188,fire,1,
3188,fire,3,
3194,fire,3,
3198,fire,4,
3200,fire,3,
3202,fire,1,
3202,hit,3,1.0
3205,fire,4,
3207,fire,3,
3211,fire,4,
3215,fire,1,
3217,fire,4,
3217,hit,2,4.0
3223,fire,4,
3223,hit,2,4.0
3223,dead,2,4.0
3228,fire,1,
3230,fire,4,
3236,fire,4,
3241,fire,4,
3242,fire,1,
3242,hit,3,1.0
3257,fire,1,
3257,hit,3,1.0
3269,fire,1,
3269,hit,3,1.0
3269,dead,3,1.0
3284,fire,1,
3692,fire,4,
3699,fire,4,
3704,fire,4,
3708,fire,1,
3710,fire,4,
3716,fire,4,
3844,fire,4,
3849,fire,4,
3855,fire,4,
3859,fire,2,
3863,fire,4,
3875,fire,2,
3875,hit,4,2.0
3877,fire,4,
3877,hit,2,4.0
3877,dead,2,4.0
3884,fire,4,
3890,fire,4,
3896,fire,4,
3903,fire,4,
4097,fire,4,
4106,fire,4,
4110,fire,4,
4116,fire,4,
4116,hit,7,4.0
4123,fire,4,
4127,fire,7,
4130,fire,4,
4130,hit,7,4.0
4130,dead,7,4.0
4135,fire,4,
4318,fire,4,
4321,fire,4,
4325,fire,4,
4328,fire,4,
4331,fire,4,
4335,fire,4,
4337,fire,4,
4340,fire,4,
4344,fire,4,
4346,fire,4,
4348,fire,4,
4350,fire,4,
4353,fire,4,
4355,fire,4,
4357,fire,4,
4359,fire,4,
4360,fire,4,
4407,fire,1,
4418,fire,1,
4418,hit,6,1.0
4427,fire,1,
4427,hit,6,1.0
4427,dead,6,1.0
4436,fire,1,
4443,fire,1,
4695,fire,7,
4695,hit,4,7.0
4695,dead,4,7.0
4738,fire,2,
4908,fire,0,
4929,fire,0,
4945,fire,0,
4945,hit,3,0.0
4946,dead,3,0.0
4961,fire,0,
5130,fire,4,
5138,fire,4,
5144,fire,4,
5147,fire,3,
5151,fire,4,
5151,hit,3,4.0
5152,fire,3,
5156,fire,4,
5156,hit,3,4.0
5161,fire,4,
5164,fire,3,
5168,fire,4,
5173,fire,3,
5175,fire,4,
5181,fire,4,
5181,hit,3,4.0
5181,dead,3,4.0
5187,fire,4,
5193,fire,4,
5199,fire,4,
5236,fire,2,
5247,fire,2,
5264,fire,2,
5272,fire,2,
5272,hit,5,2.0
5274,fire,5,
5279,fire,5,
5285,fire,2,
5285,hit,5,2.0
5285,dead,5,2.0
5295,fire,2,
5396,fire,2,
5396,hit,1,2.0
5411,fire,2,
5411,hit,1,2.0
5422,fire,2,
5435,fire,2,
5435,hit,1,2.0
5435,dead,1,2.0
5446,fire,2,
5630,fire,0,
6052,fire,2,
6052,hit,5,2.0
6063,fire,2,
6063,hit,5,2.0
6075,fire,2,
6081,fire,5,
6090,fire,2,
6092,fire,5,
6101,fire,2,
6101,hit,5,2.0
6101,fire,5,
6101,hit,2,5.0
6108,fire,5,
6113,fire,2,
6113,hit,5,2.0
6116,fire,5,
6125,fire,2,
6125,fire,5,
6133,fire,5,
6140,fire,2,
6140,hit,5,2.0
6140,dead,5,2.0
6150,fire,2,
6152,fire,4,
6160,fire,4,
6163,fire,1,
6166,fire,4,
6168,fire,2,
6173,fire,4,
6173,hit,2,4.0
6173,dead,2,4.0
6178,fire,4,
6184,fire,4,
6191,fire,4,
6529,fire,1,
6529,hit,7,1.0
6549,fire,1,
6567,fire,1,
6578,fire,1,
6578,hit,7,1.0
6578,dead,7,1.0
6586,fire,1,
6604,fire,1,
6655,fire,4,
6662,fire,4,
6662,hit,2,4.0
6666,fire,2,
6666,hit,4,2.0
6666,dead,4,2.0
6697,fire,2,
6780,fire,2,
6780,hit,0,2.0
6780,dead,0,2.0
6914,fire,2,
6924,fire,7,
6924,hit,5,7.0
6924,dead,5,7.0
6989,fire,4,
6996,fire,4,
6996,hit,2,4.0
7002,fire,4,
7007,fire,2,
7007,hit,4,2.0
7010,fire,4,
7010,hit,2,4.0
7010,dead,2,4.0
7015,fire,4,
7023,fire,4,
7028,fire,4,
7033,fire,4,
7077,fire,4,
7084,fire,4,
7092,fire,4,
7194,fire,1,
7203,fire,1,
7203,hit,7,1.0
7206,fire,7,
7211,fire,1,
7211,hit,7,1.0
7211,dead,7,1.0
7217,fire,1,
7227,fire,1,
7238,fire,5,
7259,fire,2,
7259,hit,5,2.0
7265,fire,2,
7265,hit,5,2.0
7265,dead,5,2.0
7273,fire,2,
7276,fire,2,
7282,fire,2,
7346,fire,2,
7346,hit,0,2.0
7352,fire,2,
7352,hit,0,2.0
7357,fire,2,
7363,fire,0,
7363,hit,2,0.0
7363,dead,2,0.0
7370,fire,0,
7377,fire,0,
7384,fire,0,
7392,fire,0,
7557,fire,5,
7577,fire,4,
7585,fire,4,
7585,hit,2,4.0
7585,dead,2,4.0
7590,fire,4,
7594,fire,5,
7598,fire,4,
7602,fire,4,
7610,fire,4,
7655,fire,4,
7663,fire,4,
7663,hit,6,4.0
7663,dead,6,4.0
7668,fire,4,
7676,fire,4,
7681,fire,4,
7806,fire,2,
7823,fire,2,
7823,hit,1,2.0
7823,dead,1,2.0
7837,fire,2,
7970,fire,4,
7972,fire,4,
7974,fire,4,
7976,fire,4,
7978,fire,4,
7979,fire,4,
7981,fire,4,
7982,fire,4,
7985,fire,4,
7986,fire,4,
7988,fire,4,
7990,fire,4,
7992,fire,4,
8084,fire,5,
8084,hit,6,5.0
8085,hit,6,5.0
8093,fire,6,
8101,fire,6,
8108,fire,6,
8108,hit,5,6.0
8110,fire,5,
8110,hit,6,5.0
8110,dead,6,5.0
8131,fire,5,
8161,fire,2,
8196,fire,4,
8204,fire,4,
8209,fire,4,
8209,hit,3,4.0
8216,fire,4,
8223,fire,4,
8223,hit,3,4.0
8223,dead,3,4.0
8229,fire,4,
8234,fire,4,
8240,fire,4,
8394,fire,2,
8405,fire,1,
8409,fire,2,
8416,fire,1,
8426,fire,1,
8426,hit,2,1.0
