timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
1963,0.0,1499.249268,-1240.967529,-352.586975,-0.9454566212,-0.3208045006,0.0565353848,,,,
1964,0.0,1499.249268,-1240.967529,-352.586975,-0.9454566212,-0.3208045006,0.0565353848,,,,
1965,0.0,1498.439819,-1240.618408,-352.578461,-0.949863401,-0.3077388283,0.0552841115,,,,
1966,0.0,1497.428345,-1240.162109,-352.567566,-0.9552120325,-0.291010952,0.0536898389,,,,
1967,0.0,1496.668335,-1239.791016,-352.558899,-0.9591997758,-0.2778235699,0.0524390507,,,,
1968,0.0,1495.929565,-1239.385498,-352.549866,-0.9631721343,-0.2639791574,0.0511316359,,,,
1969,0.0,1492.746704,-1237.131836,-352.513275,-0.9895954514,-0.135757538,0.0476522124,,,,
1970,0.0,1490.240723,-1234.847534,-352.478394,-0.9987130196,-0.0097926581,0.0497635237,0.1348578833,339.0061177852,675.9481779005,5.0
1971,0.0,1486.684814,-1232.307373,-352.419891,-0.9894806994,0.1342523352,0.05389115,0.0702169274,247.0378053628,671.1015834844,5.0
1972,0.0,1483.569092,-1230.352051,-352.36142,-0.935416659,0.3476802999,0.0641411194,0.0126680165,105.7707896776,666.6167555327,5.0
1973,0.0,1481.218628,-1228.5354,-352.329315,-0.875546503,0.4780059555,0.0702041848,0.0024708775,46.5652608985,662.8112547795,5.0
1974,0.0,1479.062622,-1226.033936,-352.304321,-0.8184212252,0.5697481109,0.0746578076,0.0097121347,91.6109604493,658.9191673307,5.0
1975,0.0,1478.430176,-1221.184448,-352.297455,-0.6119037821,0.786736201,0.081362838,0.0908614266,295.657032121,709.8714520559,8.0
1976,0.0,1478.126831,-1217.470581,-352.298767,-0.436856807,0.8955082153,0.0849774472,0.1141138778,174.3544264068,375.8426082022,9.0
1977,0.0,1477.681274,-1215.021606,-352.298798,-0.3517087967,0.9320633146,0.0869419343,0.076059418,144.197305868,376.9509305258,9.0
1978,0.0,1476.96521,-1212.10022,-352.298767,-0.2756450142,0.9571536056,0.0887513457,0.049758076,117.5992128296,377.5099312897,9.0
1979,0.0,1476.255371,-1209.405884,-352.298798,-0.2317276268,0.9685472372,0.0906562537,0.0377088174,103.0297350209,378.7558944602,9.0
1980,0.0,1475.661499,-1206.893188,-352.298798,-0.2215234246,0.9708951125,0.0910497273,0.0354649427,100.6501377466,381.3158436445,9.0
1981,0.0,1475.093994,-1204.398926,-352.298798,-0.2187034889,0.9715342151,0.0910497273,0.0351724719,100.5471775793,382.477790063,9.0
1982,0.0,1474.694214,-1201.746826,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.0353571136,101.1675249188,383.8494412719,9.0
1983,0.0,1474.559692,-1199.164795,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.0356460329,101.9334158179,385.2131481435,9.0
1984,0.0,1474.58252,-1196.541992,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.035849326,102.5151508199,386.331532995,9.0
1985,0.0,1474.788574,-1193.638672,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.03593885,102.920634227,387.3850559016,9.0
1986,0.0,1475.092773,-1191.242065,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.0359155808,103.0895642478,388.1442721382,9.0
1987,0.0,1475.602173,-1188.522583,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.0358194616,103.2843278264,389.3894663438,9.0
1988,0.0,1476.162964,-1185.82251,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.0356726069,103.1564812931,389.6926001732,9.0
1989,0.0,1476.922241,-1182.795532,-352.298798,-0.2180980161,0.9716703174,0.0910497099,0.0354662762,103.049780266,390.3997489646,9.0
1990,0.0,1477.82312,-1179.791748,-352.298798,-0.2180980161,0.9716703174,0.0910497099,,,,
1991,0.0,1478.729126,-1177.06311,-352.298798,-0.2180980161,0.9716703174,0.0910497099,,,,
1992,0.0,1479.597656,-1174.640625,-352.298798,-0.2275354646,0.9696420775,0.0895648025,,,,
1993,0.0,1480.593262,-1171.534912,-352.298798,-0.2320209291,0.9694736857,0.0792909901,,,,
1994,0.0,1481.344849,-1168.715698,-352.298798,-0.2323124885,0.9695346569,0.0776753289,,,,
1995,0.0,1481.899048,-1166.312988,-352.298798,-0.217136435,0.9730783896,0.0772671749,,,,
1996,0.0,1479.848022,-1166.515625,-354.203796,-0.1960841554,0.9775825327,0.0767032968,,,,
1997,0.0,1480.209595,-1163.362183,-354.20639,-0.1845128954,0.9797698849,0.0774981552,,,,
1998,0.0,1480.469727,-1160.086182,-354.223724,-0.1741194333,0.981586376,0.0785532266,,,,
1999,0.0,1480.811768,-1154.312866,-354.25061,-0.1540400437,0.9849308649,0.0786311407,,,,
2000,0.0,1480.8826295,-1152.486572,-354.2379605,-0.1528429953,0.9851165896,0.0786311407,,,,
2001,0.0,1481.02417,-1147.643188,-354.167938,-0.1515684062,0.9853142453,0.0786311407,,,,
2002,0.0,1481.157715,-1144.626465,-354.172607,-0.1515684062,0.9853142453,0.0786311407,,,,
2003,0.0,1481.42334,-1141.807983,-354.024597,-0.1515684062,0.9853142453,0.0786311407,,,,
2004,0.0,1481.89624,-1138.098999,-353.844696,-0.1515684062,0.9853142453,0.0786311407,,,,
2005,0.0,1482.44043,-1134.746094,-353.584076,-0.1515684062,0.9853142453,0.0786311407,,,,
2006,0.0,1483.247803,-1131.388672,-353.447937,-0.1515684062,0.9853142453,0.0786311407,,,,
2007,0.0,1484.053467,-1128.342285,-353.390656,-0.1515684062,0.9853142453,0.0786311407,,,,
2008,0.0,1484.92334,-1125.273193,-353.37738,-0.1515684062,0.9853142453,0.0786311407,,,,
2009,0.0,1485.588867,-1122.5177,-353.485931,-0.1515684062,0.9853142453,0.0786311407,,,,
2010,0.0,1486.217407,-1119.762573,-353.563141,-0.1515684062,0.9853142453,0.0786311407,0.0228612308,84.5133957671,397.5183414622,9.0
2011,0.0,1487.031616,-1115.611328,-353.516968,-0.1515684062,0.9853142453,0.0786311407,0.0231613592,85.3047812175,398.6628265358,9.0
2012,0.0,1487.417358,-1113.083252,-353.457794,-0.1515684062,0.9853142453,0.0786311407,0.0233806841,85.8491560938,399.3428433825,9.0
2013,0.0,1487.885376,-1109.662598,-353.562775,-0.1515684062,0.9853142453,0.0786311407,0.0236422169,86.4948461088,400.141271243,9.0
2014,0.0,1488.166382,-1106.773071,-353.372894,-0.1515684062,0.9853142453,0.0786311407,0.0240110643,87.3884587596,401.1955620135,9.0
2015,0.0,1488.489502,-1103.197144,-353.508972,-0.1515684062,0.9853142453,0.0786311407,0.0248064173,89.4028441194,403.8912821753,9.0
