timestamp,event,src,dst
43716,fire,4,
43716,hit,3,4.0
43716,fire,3,
43716,hit,4,3.0
43801,fire,4,
43801,hit,3,4.0
43801,fire,3,
43801,dead,3,4.0
43824,fire,4,
43836,fire,4,
43849,fire,4,
43863,fire,4,
43876,fire,4,
43888,fire,4,
43901,fire,4,
43915,fire,4,
43929,fire,4,
43929,fire,2,
43942,fire,4,
43942,fire,2,
43942,fire,1,
43954,fire,4,
43954,fire,1,
43954,fire,2,
43968,fire,4,
43968,fire,2,
43968,fire,1,
43981,fire,4,
43981,fire,2,
43981,hit,1,2.0
43981,fire,1,
43981,hit,2,1.0
43981,dead,2,1.0
43994,fire,1,
43994,fire,4,
44008,fire,4,
44008,fire,7,
44008,hit,1,7.0
44022,fire,4,
44022,fire,7,
44022,hit,1,7.0
44022,dead,1,7.0
44034,fire,4,
44047,fire,4,
44061,fire,4,
44074,fire,4,
44087,fire,4,
44492,fire,3,
44518,fire,3,
44614,fire,1,
44614,hit,6,1.0
44614,dead,6,1.0
44627,fire,1,
44664,fire,7,
44664,hit,5,7.0
44676,fire,7,
44676,hit,5,7.0
44676,dead,5,7.0
44689,fire,7,
44701,fire,4,
44714,fire,4,
44728,fire,4,
44740,fire,4,
44753,fire,4,
44766,fire,4,
44779,fire,4,
44791,fire,4,
44791,hit,1,4.0
44805,fire,4,
44805,hit,1,4.0
44805,dead,1,4.0
44818,fire,4,
44830,fire,4,
44843,fire,4,
44843,fire,2,
44843,fire,0,
44856,fire,2,
44856,fire,4,
44856,fire,0,
44856,hit,2,0.0
44869,fire,4,
44869,fire,2,
44869,fire,0,
44869,hit,2,0.0
44869,dead,2,0.0
44870,fire,4,
44870,fire,0,
44882,fire,4,
44882,fire,0,
44895,fire,4,
44895,fire,0,
44907,fire,0,
44908,fire,4,
44920,fire,4,
44933,fire,4,
44946,fire,4,
44958,fire,4,
44972,fire,4,
44985,fire,4,
44997,fire,4,
45010,fire,4,
45023,fire,4,
45035,fire,4,
45048,fire,4,
45061,fire,4,
45074,fire,4,
45086,fire,4,
45099,fire,4,
45112,fire,4,
45124,fire,4,
45124,fire,0,
45124,fire,2,
45124,hit,0,2.0
45138,fire,2,
45138,hit,0,2.0
45138,fire,4,
45138,fire,0,
45138,dead,0,2.0
45152,fire,4,
45152,hit,5,4.0
45152,fire,2,
45152,dead,5,4.0
45164,fire,4,
45177,fire,4,
45191,fire,6,
45191,hit,3,6.0
45191,fire,4,
45191,dead,3,6.0
45203,fire,6,
45203,fire,4,
45216,fire,4,
45229,fire,4,
45241,fire,4,
45242,fire,4,
45254,fire,4,
45267,fire,4,
45279,fire,4,
45280,fire,4,
45292,fire,4,
45306,fire,4,
45385,fire,1,
45398,fire,1,
45411,fire,1,
45411,hit,4,1.0
45411,dead,4,1.0
45423,fire,1,
45449,fire,5,
45534,fire,3,
45559,fire,3,
45571,fire,7,
45584,fire,7,
45584,fire,3,
45584,hit,7,3.0
45584,dead,7,3.0
45597,fire,3,
45610,fire,3,
45635,fire,6,
45648,fire,6,
45661,fire,6,
45674,fire,3,
45674,hit,6,3.0
45674,dead,6,3.0
45687,fire,3,
45687,fire,2,
45687,fire,1,
45701,fire,2,
45701,hit,1,2.0
45701,fire,1,
45701,hit,2,1.0
45701,dead,2,1.0
45713,fire,1,
45880,fire,6,
45893,fire,6,
45893,fire,0,
45907,fire,0,
45907,fire,6,
45907,hit,6,0.0
45920,fire,6,
45920,hit,0,6.0
45920,fire,0,
45920,hit,6,0.0
45920,dead,6,0.0
45933,fire,0,
45991,fire,3,
46016,fire,3,
46042,fire,5,
46055,fire,4,
46055,fire,5,
46068,fire,4,
46080,fire,4,
46080,hit,1,4.0
46094,fire,4,
46094,fire,1,
46094,hit,4,1.0
46094,dead,4,1.0
46107,fire,1,
46208,fire,6,
46208,hit,1,6.0
46208,dead,1,6.0
46221,fire,6,
46234,fire,7,
46234,hit,0,7.0
46247,fire,7,
46247,hit,0,7.0
46247,dead,0,7.0
46248,fire,7,
46260,fire,7,
46273,fire,5,
46285,fire,5,
46285,fire,2,
46298,fire,2,
46298,hit,5,2.0
46298,fire,5,
46311,fire,5,
46324,fire,5,
46336,fire,5,
46336,fire,2,
46349,fire,2,
46349,fire,5,
46362,fire,2,
46362,hit,5,2.0
46362,dead,5,2.0
46374,fire,2,
46441,fire,3,
46441,fire,7,
46453,fire,3,
46453,fire,7,
46453,hit,7,3.0
46454,fire,7,
46454,hit,3,7.0
46467,fire,7,
46467,hit,3,7.0
46467,dead,3,7.0
46480,fire,7,
46617,fire,7,
46617,hit,1,7.0
46659,fire,7,
46672,fire,7,
46672,hit,1,7.0
46672,dead,1,7.0
46685,fire,7,
46736,fire,3,
46749,fire,3,
46749,hit,4,3.0
46763,fire,3,
46763,hit,4,3.0
46777,fire,3,
46777,hit,4,3.0
46777,dead,4,3.0
46789,fire,3,
46802,fire,3,
47034,fire,1,
47091,fire,2,
47104,fire,2,
47104,fire,3,
47117,fire,3,
47117,hit,2,3.0
47117,dead,2,3.0
47129,fire,3,
47142,fire,3,
47167,fire,0,
47180,fire,5,
47180,fire,0,
47194,fire,6,
47194,hit,0,6.0
47194,fire,0,
47194,hit,6,0.0
47194,dead,6,0.0
47207,fire,7,
47207,hit,0,7.0
47207,dead,0,7.0
47208,fire,7,
47220,fire,7,
47321,fire,4,
47333,fire,4,
47346,fire,4,
47359,fire,4,
47359,hit,5,4.0
47371,fire,4,
47371,hit,5,4.0
47384,fire,4,
47384,hit,5,4.0
47384,fire,5,
47398,fire,4,
47398,fire,5,
47398,hit,5,4.0
47398,dead,5,4.0
47412,fire,7,
47412,fire,4,
47412,fire,2,
47424,fire,4,
47437,fire,4,
47486,fire,0,
47499,fire,0,
47499,fire,3,
47512,fire,4,
47512,fire,3,
47512,fire,0,
47526,fire,7,
47526,hit,3,7.0
47526,fire,4,
47526,fire,0,
47526,hit,4,0.0
47526,dead,3,7.0
47539,fire,7,
47539,fire,4,
47539,fire,0,
47539,hit,4,0.0
47539,hit,0,4.0
47553,fire,0,
47553,fire,4,
47553,hit,0,4.0
47553,dead,0,4.0
47566,fire,4,
47578,fire,4,
47591,fire,4,
47618,fire,1,
47618,hit,7,1.0
47618,dead,7,1.0
47630,fire,1,
47753,fire,5,
47766,fire,5,
47779,fire,5,
47779,fire,4,
47791,fire,4,
47791,fire,3,
47791,fire,5,
47804,fire,5,
47804,fire,4,
47804,fire,3,
47804,hit,4,3.0
47804,hit,3,4.0
47817,fire,5,
47817,hit,2,5.0
47817,fire,3,
47817,fire,4,
47817,hit,3,4.0
47830,fire,2,
47830,fire,4,
47830,fire,3,
47831,fire,4,
47831,hit,3,4.0
47831,fire,5,
47831,hit,2,5.0
47831,dead,2,5.0
47831,fire,3,
47831,hit,4,3.0
47831,dead,4,3.0
47843,fire,5,
47843,fire,3,
47856,fire,3,
47856,fire,5,
47869,fire,5,
48055,fire,7,
48069,fire,7,
48069,hit,5,7.0
48069,dead,5,7.0
48081,fire,7,
48094,fire,1,
48108,fire,1,
48108,fire,6,
48108,hit,1,6.0
48108,hit,6,1.0
48108,dead,6,1.0
48120,fire,1,
48233,fire,7,
48233,hit,1,7.0
48233,dead,1,7.0
48246,fire,7,
48297,fire,4,
48310,fire,4,
48530,fire,4,
48542,fire,4,
48555,fire,4,
48568,fire,4,
48580,fire,4,
48593,fire,4,
48606,fire,4,
48620,fire,4,
48632,fire,4,
48645,fire,4,
48645,fire,0,
48657,fire,0,
48658,fire,4,
48658,fire,0,
48670,fire,0,
48670,fire,4,
48683,fire,4,
48696,fire,4,
48708,fire,4,
48721,fire,4,
48734,fire,4,
48747,fire,4,
48759,fire,4,
48772,fire,4,
48772,fire,0,
48785,fire,0,
48785,fire,4,
48798,fire,0,
48798,fire,4,
48798,hit,0,4.0
48798,hit,4,0.0
48798,dead,4,0.0
48929,fire,0,
48943,fire,2,
48943,hit,0,2.0
48943,fire,0,
48943,dead,0,2.0
48955,fire,2,
49026,fire,1,
49144,fire,3,
49144,fire,5,
49144,hit,7,3.0
49158,fire,5,
49158,hit,2,5.0
49158,fire,3,
49158,hit,7,3.0
49171,fire,5,
49171,fire,7,
49171,hit,3,7.0
49171,dead,3,7.0
49171,fire,6,
49171,hit,5,6.0
49171,dead,5,6.0
49184,fire,7,
49184,fire,4,
49184,fire,6,
49184,fire,2,
49197,fire,4,
49209,fire,4,
49222,fire,4,
49235,fire,4,
49247,fire,4,
49260,fire,4,
49273,fire,4,
49286,fire,4,
49298,fire,4,
49311,fire,4,
49324,fire,4,
49336,fire,4,
49349,fire,4,
49362,fire,4,
49374,fire,4,
49374,fire,2,
49388,fire,4,
49388,fire,2,
49388,fire,6,
49388,hit,3,6.0
49388,hit,3,4.0
49402,fire,3,
49402,fire,4,
49402,fire,6,
49402,hit,3,6.0
49402,fire,2,
49402,hit,3,2.0
49402,hit,3,4.0
49402,dead,3,4.0
49414,fire,2,
49414,fire,4,
49415,fire,4,
49427,fire,4,
49440,fire,4,
49452,fire,4,
49465,fire,4,
49478,fire,4,
49491,fire,4,
49503,fire,4,
49516,fire,4,
49529,fire,4,
49541,fire,4,
49554,fire,4,
49567,fire,4,
49580,fire,4,
49592,fire,4,
49605,fire,4,
