timestamp,event,src,dst
0,fire,1,
275,fire,6,
289,fire,6,
289,hit,4,6.0
303,fire,6,
316,fire,6,
316,hit,4,6.0
330,fire,6,
330,hit,4,6.0
344,fire,6,
344,hit,4,6.0
358,fire,6,
372,fire,6,
372,hit,4,6.0
372,dead,4,6.0
386,fire,6,
399,fire,6,
525,fire,9,
525,hit,1,9.0
543,fire,9,
543,hit,1,9.0
543,dead,1,9.0
570,fire,9,
643,fire,5,
656,fire,6,
670,fire,6,
670,hit,9,6.0
683,fire,6,
684,fire,6,
697,fire,6,
711,fire,6,
711,hit,9,6.0
726,fire,6,
726,hit,9,6.0
726,dead,9,6.0
740,fire,6,
754,fire,6,
768,fire,6,
781,fire,4,
795,fire,4,
809,fire,4,
977,fire,4,
977,hit,0,4.0
991,fire,0,
991,fire,4,
991,hit,0,4.0
1006,fire,4,
1006,hit,0,4.0
1006,dead,0,4.0
1020,fire,4,
1020,fire,3,
1020,fire,5,
1020,hit,3,5.0
1033,fire,5,
1033,hit,3,5.0
1033,hit,5,3.0
1033,fire,4,
1048,fire,5,
1048,hit,3,5.0
1048,dead,3,5.0
1061,fire,5,
1075,fire,5,
1217,fire,6,
1231,fire,6,
1232,fire,9,
1232,fire,6,
1246,fire,6,
1246,hit,4,6.0
1246,fire,9,
1261,fire,6,
1261,hit,4,6.0
1261,fire,9,
1261,fire,4,
1275,fire,6,
1275,hit,4,6.0
1275,dead,4,6.0
1276,fire,6,
1276,fire,9,
1289,fire,6,
1303,fire,6,
1303,fire,9,
1316,fire,9,
1330,fire,9,
1359,fire,9,
1373,fire,9,
1387,fire,9,
1400,fire,9,
1400,hit,1,9.0
1414,fire,9,
1414,hit,1,9.0
1429,fire,1,
1429,hit,9,1.0
1429,dead,9,1.0
1620,fire,4,
1634,fire,4,
1647,fire,4,
1661,fire,4,
1675,fire,4,
1688,fire,4,
1702,fire,4,
1717,fire,3,
1717,hit,4,3.0
1717,dead,4,3.0
1730,fire,3,
1744,fire,3,
1758,fire,3,
1903,fire,7,
1917,fire,7,
1931,fire,7,
1944,fire,7,
1973,fire,7,
1973,hit,3,7.0
1973,dead,3,7.0
1985,fire,7,
1999,fire,7,
1999,fire,8,
2054,fire,4,
2067,fire,4,
2106,fire,4,
2120,fire,9,
2120,hit,0,9.0
2134,fire,9,
2134,hit,0,9.0
2149,fire,9,
2162,fire,9,
2191,fire,9,
2191,hit,0,9.0
2191,dead,0,9.0
2204,fire,9,
2421,fire,5,
2505,fire,5,
2519,fire,5,
2546,fire,5,
2560,fire,5,
2573,fire,5,
2587,fire,5,
2601,fire,5,
2601,fire,6,
2628,fire,6,
2642,fire,6,
2669,fire,6,
2697,fire,2,
2697,fire,4,
2697,fire,6,
2711,fire,4,
2711,hit,6,4.0
2711,fire,2,
2725,fire,4,
2725,hit,6,4.0
2725,fire,2,
2725,fire,6,
2725,hit,1,4.0
2739,fire,4,
2739,hit,2,4.0
2739,fire,2,
2739,hit,6,4.0
2739,hit,1,4.0
2739,dead,1,4.0
2753,fire,2,
2753,fire,4,
2767,fire,4,
2780,fire,4,
2780,fire,2,
2794,fire,2,
2794,fire,4,
2794,hit,6,4.0
2808,fire,4,
2821,fire,4,
2835,fire,4,
2835,hit,6,4.0
2835,dead,6,4.0
2849,fire,4,
2862,fire,4,
2876,fire,4,
2890,fire,5,
2903,fire,5,
3020,fire,0,
3064,fire,2,
3064,fire,3,
3077,fire,0,
3077,fire,3,
3077,hit,5,3.0
3077,dead,5,3.0
3091,fire,2,
3091,hit,8,2.0
3091,fire,3,
3104,fire,3,
3105,fire,2,
3118,fire,8,
3118,fire,2,
3132,fire,8,
3132,fire,2,
3146,fire,8,
3146,fire,0,
3146,fire,2,
3159,fire,8,
3159,fire,2,
