timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
2034,0.0,-1354.065308,-755.862671,11839.701172,1.0,0.0,0.0,0.0715923391,413.9634092263,1114.1130331039,1.0
2035,0.0,-1353.912842,-755.636902,11839.701172,1.0,0.0,0.0,0.0709647184,412.9683564247,1116.1574125233,1.0
2036,0.0,-1353.613403,-755.1521,11839.701172,0.9980644753,0.0568355975,-0.0252392137,0.0919197551,469.0269157128,1119.9406775776,1.0
2037,0.0,-1353.5357055,-755.013092,11839.70166,0.7010536115,0.4138967969,-0.2587766837,,,,
2038,0.0,-1353.458008,-754.874084,11839.702148,0.4040427477,0.7709579963,-0.4923141537,,,,
2039,0.0,-1353.316895,-754.602905,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2040,0.0,-1353.10498,-754.15332,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2041,0.0,-1353.036926,-753.991699,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2042,0.0,-1352.968872,-753.830078,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2043,0.0,-1355.92749,-743.921753,11825.974609,0.4040427477,0.7709579963,-0.4923141537,,,,
2044,0.0,-1355.92749,-743.921753,11832.8378905,0.4040427477,0.7709579963,-0.4923141537,,,,
2045,0.0,-1355.92749,-743.921753,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2046,0.0,-1355.92749,-743.921753,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2047,0.0,-1355.92749,-743.921753,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2048,0.0,-1355.92749,-743.921753,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2049,0.0,-1355.92749,-743.921753,11839.701172,0.4040427477,0.7709579963,-0.4923141537,,,,
2050,0.0,-1354.308228,-744.520386,11839.75,0.5803714982,0.7005225672,-0.4152554117,,,,
2051,0.0,-1353.391968,-745.25061,11839.701172,0.7681157666,0.5625632838,-0.3058115774,,,,
2052,0.0,-1353.391968,-745.25061,11839.701172,0.8589295253,0.454946178,-0.2350830613,,,,
2053,0.0,-1353.391968,-745.25061,11839.701172,0.9550226724,0.2673953933,-0.1281850178,,,,
2054,0.0,-1353.2323,-746.586243,11839.688477,0.9988618104,0.043626689,-0.0192820054,,,,
2055,0.0,-1353.090454,-747.0,11839.701172,1.0,0.0,0.0,,,,
2056,0.0,-1353.108643,-747.0,11839.701172,1.0,0.0,0.0,,,,
2057,0.0,-1353.115967,-747.0,11839.701172,1.0,0.0,0.0,,,,
2058,0.0,-1353.152344,-747.0,11839.701172,1.0,0.0,0.0,,,,
2059,0.0,-1353.121948,-747.0,11839.701172,1.0,0.0,0.0,,,,
2060,0.0,-1353.098511,-747.0,11839.701172,1.0,0.0,0.0,,,,
2061,0.0,-1353.135498,-747.0,11839.701172,1.0,0.0,0.0,,,,
2062,0.0,-1353.121704,-747.0,11839.701172,1.0,0.0,0.0,,,,
2063,0.0,-1353.114258,-747.0,11839.701172,1.0,0.0,0.0,,,,
2064,0.0,-1353.120605,-747.0,11839.701172,0.9999997818,0.0,-0.0006605373,,,,
2065,0.0,-1353.126221,-747.0,11839.701172,0.9999995404,0.0,-0.0009587441,,,,
2066,0.0,-1357.256226,-747.0,11840.544922,0.9999995404,0.0,-0.0009587441,,,,
2067,0.0,-1357.293213,-747.0,11840.515625,0.9999995404,0.0,-0.0009587441,,,,
2068,0.0,-1357.391602,-747.0,11840.447266,0.9999995404,0.0,-0.0009587441,,,,
2069,0.0,-1357.412231,-747.0,11840.438477,0.9999995404,0.0,-0.0009587441,,,,
2070,0.0,-1357.601929,-747.0,11840.347656,0.9999995404,0.0,-0.0009587441,,,,
2071,0.0,-1357.564453,-747.0,11840.366211,0.9999995404,0.0,-0.0009587441,,,,
2072,0.0,-1357.765747,-747.0,11840.319336,0.9999995404,0.0,-0.0009587441,,,,
2073,0.0,-1357.800171,-747.0,11840.320312,0.9999995404,0.0,-0.0009587441,,,,
2074,0.0,-1357.762207,-747.0,11840.319336,0.9999995404,0.0,-0.0009587441,,,,
2075,0.0,-1357.994629,-747.0,11840.299805,0.9999995404,0.0,-0.0009587441,,,,
2076,0.0,-1358.271484,-747.0,11840.311523,0.9999995404,0.0,-0.0009587441,,,,
2077,0.0,-1358.358765,-747.0,11840.316406,0.9999995404,0.0,-0.0009587441,,,,
2078,0.0,-1358.453979,-747.0,11840.325195,0.9999995404,0.0,-0.0009587441,,,,
2079,0.0,-1358.562134,-747.0,11840.336914,0.9999995404,0.0,-0.0009587441,,,,
2080,0.0,-1358.632446,-747.0,11840.351562,0.9999995404,0.0,-0.0009587441,,,,
2081,0.0,-1358.673828,-747.0,11840.356445,0.9999995404,0.0,-0.0009587441,,,,
2082,0.0,-1358.702637,-747.0,11840.363281,0.9999995404,0.0,-0.0009587441,,,,
2083,0.0,-1358.748657,-747.0,11840.370117,0.9999995404,0.0,-0.0009587441,,,,
2084,0.0,-1358.794189,-747.0,11840.353516,0.9999995404,0.0,-0.0009587441,,,,
