timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
2036,0.0,-1359.981201,-749.191589,11841.485352,1.0,0.0,0.0,,,,
2037,0.0,-1359.1204835,-749.115387,11841.2709965,0.9257701068,0.2326661912,-0.1207735885,,,,
2038,0.0,-1358.259766,-749.039185,11841.056641,0.8515402136,0.4653323823,-0.241547177,,,,
2039,0.0,-1357.112671,-748.726929,11840.44043,0.4203438808,0.7662500675,-0.4859751598,,,,
2040,0.0,-1356.890503,-748.02887,11840.757812,0.4040427477,0.7709579963,-0.4923141537,,,,
2041,0.0,-1356.717529,-747.707703,11840.858398,0.4040427477,0.7709579963,-0.4923141537,,,,
2042,0.0,-1361.55542,-746.68042,11840.996094,0.4040427477,0.7709579963,-0.4923141537,,,,
2043,0.0,-1361.200562,-746.223328,11841.148438,0.4040427477,0.7709579963,-0.4923141537,,,,
2044,0.0,-1360.999512,-745.955383,11841.192383,0.4040427477,0.7709579963,-0.4923141537,,,,
2045,0.0,-1360.991699,-745.944214,11827.415039,0.4040427477,0.7709579963,-0.4923141537,,,,
2046,0.0,-1360.779541,-745.7223205,11832.7026365,0.4040427477,0.7709579963,-0.4923141537,,,,
2047,0.0,-1360.226685,-745.32373,11841.082031,0.4040427477,0.7709579963,-0.4923141537,,,,
2048,0.0,-1360.2727055,-745.342285,11841.111328,0.4040427477,0.7709579963,-0.4923141537,,,,
2049,0.0,-1360.166992,-745.32251,11841.009766,0.4040427477,0.7709579963,-0.4923141537,,,,
2050,0.0,-1360.210571,-745.331726,11841.050781,0.4040427477,0.7709579963,-0.4923141537,,,,
2051,0.0,-1360.184692,-745.325317,11841.026367,0.4040427477,0.7709579963,-0.4923141537,,,,
2052,0.0,-1360.179077,-745.142334,11840.40918,0.5692052555,0.7063844472,-0.4207450413,,,,
2053,0.0,-1360.074829,-745.112854,11840.300781,0.7416904151,0.5875074986,-0.3236205606,,,,
2054,0.0,-1359.815063,-745.297607,11840.133789,0.8795520699,0.4238784234,-0.2161370829,,,,
2055,0.0,-1359.427734,-746.075378,11840.082031,0.9610350962,0.2495731036,-0.118847843,,,,
2056,0.0,-1359.258301,-746.853943,11840.072266,0.9988428355,0.0439876989,-0.0194440812,,,,
2057,0.0,-1359.110474,-747.0,11839.975586,1.0,0.0,0.0,,,,
2058,0.0,-1359.115723,-747.0,11839.858398,1.0,0.0,0.0,,,,
2059,0.0,-1359.120239,-747.0,11839.805664,1.0,0.0,0.0,,,,
2060,0.0,-1359.122925,-747.0,11839.711914,1.0,0.0,0.0,,,,
2061,0.0,-1359.123657,-747.0,11839.625977,1.0,0.0,0.0,,,,
2062,0.0,-1356.675781,-747.0,11840.532227,1.0,0.0,0.0,,,,
2063,0.0,-1356.755249,-747.0,11840.545898,1.0,0.0,0.0,,,,
2064,0.0,-1356.890137,-747.0,11840.59668,1.0,0.0,0.0,,,,
2065,0.0,-1356.978516,-747.0,11840.608398,1.0,0.0,0.0,,,,
2066,0.0,-1357.064209,-747.0,11840.608398,0.9999997198,0.0,-0.0007485542,,,,
2067,0.0,-1357.164307,-747.0,11840.586914,0.9999995404,0.0,-0.0009587441,,,,
2068,0.0,-1357.197754,-747.0,11840.567383,0.9999995404,0.0,-0.0009587441,,,,
2069,0.0,-1357.287598,-747.0,11840.524414,0.9999995404,0.0,-0.0009587441,,,,
2070,0.0,-1357.368652,-747.0,11840.470703,0.9999995404,0.0,-0.0009587441,,,,
2071,0.0,-1357.451782,-747.0,11840.423828,0.9999995404,0.0,-0.0009587441,,,,
2072,0.0,-1357.537109,-747.0,11840.381836,0.9999995404,0.0,-0.0009587441,,,,
2073,0.0,-1357.541138,-747.0,11840.382812,0.9999995404,0.0,-0.0009587441,,,,
2074,0.0,-1357.747559,-747.0,11840.330078,0.9999995404,0.0,-0.0009587441,,,,
2075,0.0,-1357.770874,-747.0,11840.327148,0.9999995404,0.0,-0.0009587441,,,,
2076,0.0,-1357.766602,-747.0,11840.326172,0.9999995404,0.0,-0.0009587441,,,,
2077,0.0,-1358.205078,-747.0,11840.302734,0.9999995404,0.0,-0.0009587441,,,,
2078,0.0,-1358.2854005,-747.0,11840.314941,0.9999995404,0.0,-0.0009587441,,,,
2079,0.0,-1358.365723,-747.0,11840.327148,0.9999995404,0.0,-0.0009587441,,,,
2080,0.0,-1358.50354,-747.0,11840.333984,0.9999995404,0.0,-0.0009587441,,,,
2081,0.0,-1358.59314,-747.0,11840.353516,0.9999995404,0.0,-0.0009587441,,,,
2082,0.0,-1358.630737,-747.0,11840.361328,0.9999995404,0.0,-0.0009587441,,,,
2083,0.0,-1358.630493,-747.0,11840.362305,0.9999995404,0.0,-0.0009587441,,,,
2084,0.0,-1358.721802,-747.0,11840.376953,0.9999995404,0.0,-0.0009587441,,,,
2085,0.0,-1358.756104,-747.0,11840.367188,0.9999995404,0.0,-0.0009587441,,,,
2086,0.0,-1358.792725,-747.0,11840.339844,0.9999995404,0.0,-0.0009587441,,,,
2087,0.0,-1358.787476,-747.0,11840.341797,0.9999995404,0.0,-0.0009587441,,,,
2088,0.0,-1358.83252,-747.0,11840.274414,0.9999995404,0.0,-0.0009587441,,,,
2089,0.0,-1358.839478,-747.0,11840.25,0.9999995404,0.0,-0.0009587441,,,,
2090,0.0,-1358.841309,-747.0,11840.208008,0.9999995404,0.0,-0.0009587441,,,,
2091,0.0,-1358.833862,-747.0,11840.19043,0.9999995404,0.0,-0.0009587441,,,,
2092,0.0,-1358.831787,-747.0,11840.186523,0.9999995404,0.0,-0.0009587441,,,,
2093,0.0,-1358.80603,-747.0,11840.160156,0.9999995404,0.0,-0.0009587441,,,,
2094,0.0,-1358.779419,-747.0,11840.146484,0.9999995404,0.0,-0.0009587441,,,,
2095,0.0,-1358.755981,-747.0,11840.146484,0.9999995404,0.0,-0.0009587441,,,,
2096,0.0,-1358.730957,-747.0,11840.157227,0.9999995404,0.0,-0.0009587441,,,,
2097,0.0,-1358.71228,-747.0,11840.163086,0.9999995404,0.0,-0.0009587441,,,,
2098,0.0,-1358.697388,-747.0,11840.199219,0.9999995404,0.0,-0.0009587441,,,,
2099,0.0,-1358.684082,-747.0,11840.265625,0.9999995404,0.0,-0.0009587441,,,,
2100,0.0,-1358.687012,-747.0,11840.253906,0.9999995404,0.0,-0.0009587441,,,,
2101,0.0,-1358.638672,-747.0,11840.375,0.9999995404,0.0,-0.0009587441,,,,
2102,0.0,-1358.609497,-747.0,11840.424805,0.9999995404,0.0,-0.0009587441,,,,
2103,0.0,-1358.518188,-747.0,11840.529297,0.9999995404,0.0,-0.0009587441,,,,
2104,0.0,-1358.245605,-747.0,11840.704102,0.9999995404,0.0,-0.0009587441,,,,
2105,0.0,-1358.217407,-747.0,11840.727539,0.9999995404,0.0,-0.0009587441,,,,
2106,0.0,-1358.187378,-747.0,11840.754883,0.9999995404,0.0,-0.0009587441,,,,
2107,0.0,-1358.101318,-747.0,11840.789062,0.9999995404,0.0,-0.0009587441,,,,
2108,0.0,-1357.647583,-747.0,11840.823242,0.9999995404,0.0,-0.0009587441,,,,
2109,0.0,-1357.31665,-747.0,11840.870117,0.9999995404,0.0,-0.0009587441,,,,
2110,0.0,-1356.984497,-747.0,11840.919922,0.9999995404,0.0,-0.0009587441,,,,
2111,0.0,-1356.855835,-747.0,11840.950195,0.9999995404,0.0,-0.0009587441,,,,
2112,0.0,-1356.779297,-747.0,11840.979492,0.9999995404,0.0,-0.0009587441,,,,
2113,0.0,-1356.790649,-747.0,11841.0,0.9999995404,0.0,-0.0009587441,,,,
2114,0.0,-1356.77002,-747.0,11841.02832,0.9999995404,0.0,-0.0009587441,,,,
2115,0.0,-1356.803467,-747.0,11841.036133,0.9999995404,0.0,-0.0009587441,,,,
2116,0.0,-1356.852417,-747.129028,11841.0625,0.9999995404,0.0,-0.0009587441,,,,
2117,0.0,-1356.989624,-747.664001,11841.038086,0.9999995404,0.0,-0.0009587441,,,,
2118,0.0,-1357.084351,-747.801025,11841.06543,0.9999995404,0.0,-0.0009587441,,,,
2119,0.0,-1357.326904,-748.272339,11841.009766,0.9999995404,0.0,-0.0009587441,,,,
2120,0.0,-1357.599731,-748.597473,11840.983398,0.9999995404,0.0,-0.0009587441,,,,
2121,0.0,-1357.963135,-748.942566,11840.951172,0.9999995404,0.0,-0.0009587441,,,,
2122,0.0,-1358.157349,-749.102722,11840.936523,0.9999995404,0.0,-0.0009587441,,,,
2123,0.0,-1358.303833,-749.237732,11840.921875,0.9999995404,0.0,-0.0009587441,,,,
2124,0.0,-1358.540649,-749.382812,11840.913086,0.9999995404,0.0,-0.0009587441,,,,
2125,0.0,-1358.648682,-749.444763,11840.939453,0.9999995404,0.0,-0.0009587441,,,,
2126,0.0,-1358.843506,-749.56134,11840.958008,0.9999995404,0.0,-0.0009587441,,,,
2127,0.0,-1358.981445,-749.620544,11840.995117,0.9999995404,0.0,-0.0009587441,,,,
