timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
0,0.0,-1391.057739,-980.270813,-118.405663,0.9982158172,0.0363831348,0.0473439516,,,,
1,0.0,-1391.065186,-980.275513,-118.407303,0.9982158172,0.0363831348,0.0473439516,,,,
2,0.0,-1390.928711,-980.182983,-118.366997,0.9982158172,0.0363831348,0.0473439516,,,,
3,0.0,-1390.889282,-980.144287,-118.341957,0.9982158172,0.0363831348,0.0473439516,,,,
4,0.0,-1390.88562,-980.14032,-118.339783,0.9982158172,0.0363831348,0.0473439516,,,,
5,0.0,-1390.849854,-980.083618,-118.296844,0.9982158172,0.0363831348,0.0473439516,,,,
6,0.0,-1390.839722,-980.0625,-118.282059,0.9982158172,0.0363831348,0.0473439516,,,,
7,0.0,-1390.835571,-980.034973,-118.258385,0.9982158172,0.0363831348,0.0473439516,,,,
8,0.0,-1390.835693,-980.030273,-118.25322,0.9982158172,0.0363831348,0.0473439516,,,,
9,0.0,-1390.83606,-980.010986,-118.232269,0.9982158172,0.0363831348,0.0473439516,,,,
10,0.0,-1390.87439,-980.001404,-118.248421,0.9982158172,0.0363831348,0.0473439516,,,,
11,0.0,-1390.906006,-980.003967,-118.26564,0.9982158172,0.0363831348,0.0473439516,,,,
12,0.0,-1390.903198,-980.003906,-118.263939,0.9982158172,0.0363831348,0.0473439516,,,,
13,0.0,-1390.987427,-980.007568,-118.291161,0.9982158172,0.0363831348,0.0473439516,,,,
14,0.0,-1391.009644,-980.001038,-118.288574,0.9982158172,0.0363831348,0.0473439516,,,,
15,0.0,-1391.049683,-979.989807,-118.292229,0.9982158172,0.0363831348,0.0473439516,,,,
16,0.0,-1391.069458,-979.980469,-118.292313,0.9982158172,0.0363831348,0.0473439516,,,,
17,0.0,-1391.09082,-979.969849,-118.292633,0.9982158172,0.0363831348,0.0473439516,,,,
18,0.0,-1391.106689,-979.956238,-118.284973,0.9982158172,0.0363831348,0.0473439516,,,,
19,0.0,-1391.165161,-979.893188,-118.238823,0.9982158172,0.0363831348,0.0473439516,,,,
20,0.0,-1391.176514,-979.875183,-118.227722,0.9982158172,0.0363831348,0.0473439516,,,,
21,0.0,-1391.197754,-979.842041,-118.209961,0.9982158172,0.0363831348,0.0473439516,,,,
22,0.0,-1391.198486,-979.819519,-118.194878,0.9982158172,0.0363831348,0.0473439516,,,,
23,0.0,-1391.198853,-979.799683,-118.183044,0.9982158172,0.0363831348,0.0473439516,,,,
24,0.0,-1391.215698,-979.785034,-118.163322,0.9982158172,0.0363831348,0.0473439516,,,,
25,0.0,-1391.214478,-979.786133,-118.165031,0.9982158172,0.0363831348,0.0473439516,,,,
26,0.0,-1391.230713,-979.772705,-118.144539,0.9982158172,0.0363831348,0.0473439516,,,,
27,0.0,-1391.238647,-979.771118,-118.144493,0.9982158172,0.0363831348,0.0473439516,,,,
28,0.0,-1391.244019,-979.770752,-118.14621,0.9982158172,0.0363831348,0.0473439516,,,,
29,0.0,-1391.254028,-979.780396,-118.168701,0.9982158172,0.0363831348,0.0473439516,,,,
30,0.0,-1391.248779,-979.827087,-118.234909,0.9982158172,0.0363831348,0.0473439516,,,,
31,0.0,-1391.248047,-979.853699,-118.270454,0.9982158172,0.0363831348,0.0473439516,,,,
32,0.0,-1391.24646,-979.926392,-118.375381,0.9982158172,0.0363831348,0.0473439516,,,,
33,0.0,-1391.245361,-979.965332,-118.44252,0.9982158172,0.0363831348,0.0473439516,,,,
34,0.0,-1391.238342,-979.98938,-118.4860265,0.9982158172,0.0363831348,0.0473439516,,,,
