timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
0,0.0,-881.097656,-741.756958,183.502151,0.9856887256,-0.0122858545,0.1681273148,,,,
1,0.0,-877.792664,-741.713928,183.237244,0.9856887256,-0.0122858545,0.1681273148,,,,
2,0.0,-874.31366,-741.636902,183.106796,0.9856036454,0.0,0.1690723342,,,,
3,0.0,-870.953491,-741.548828,182.879883,0.9856633556,0.0141758776,0.1681273148,,,,
4,0.0,-867.445374,-741.38385,182.88829,0.9858461261,0.0217423959,0.1662368305,,,,
5,0.0,-864.036011,-741.146606,183.007111,0.9857305732,0.0264679651,0.1662368305,,,,
6,0.0,-860.561829,-740.813293,183.2966,0.9859386141,0.0302577031,0.1643457349,,,,
7,0.0,-857.144226,-740.530396,183.601227,0.9858787828,0.0321481723,0.1643457349,,,,
8,0.0,-853.905701,-740.18103,184.10173,0.9858787828,0.0321481723,0.1643457349,,,,
9,0.0,-850.403137,-739.765564,184.641937,0.9846031977,0.0443969462,0.1690723342,,,,
10,0.0,-847.438416,-739.388611,185.107758,0.9836938056,0.0528646658,0.1719064393,,,,
11,0.0,-843.473389,-738.841431,185.618668,0.9836938056,0.0528646658,0.1719064393,,,,
12,0.0,-840.672424,-738.475708,185.904922,0.9814489029,0.074572348,0.1766267702,,,,
13,0.0,-836.729248,-737.873352,186.288071,0.9814489029,0.074572348,0.1766267702,,,,
14,0.0,-833.501831,-737.334778,186.505615,0.9794097714,0.0942832647,0.1785137688,,,,
15,0.0,-830.255554,-736.831787,186.705765,0.9782602619,0.1055447501,0.1785137688,,,,
16,0.0,-826.745789,-736.284912,186.819809,0.9770329944,0.1148986595,0.179457031,,,,
17,0.0,-823.4953,-735.747559,186.897476,0.9758340737,0.1233031246,0.180400111,,,,
18,0.0,-820.033325,-735.173462,186.909897,0.9746877875,0.1307609184,0.1813430424,,,,
19,0.0,-816.831848,-734.688782,186.895752,0.9746877875,0.1307609184,0.1813430424,,,,
20,0.0,-813.424805,-734.171387,186.70163,0.9726365555,0.1428477828,0.1832283871,,,,
21,0.0,-810.100464,-733.679504,186.647156,0.9712926204,0.149411495,0.1851130752,,,,
22,0.0,-803.202698,-732.650024,186.636444,0.9688681101,0.1633342196,0.1860551474,,,,
23,0.0,-801.2828675,-732.359375,186.75177,0.9688681101,0.1633342196,0.1860551474,,,,
24,0.0,-796.284241,-731.574158,187.081039,0.9674328175,0.1726467288,0.1851130752,,,,
25,0.0,-792.993835,-731.049805,187.361954,0.9674328175,0.1726467288,0.1851130752,,,,
26,0.0,-789.519226,-730.483398,187.677231,0.9669377625,0.1763872842,0.1841708158,,,,
27,0.0,-785.72821,-729.984253,188.117142,0.9665977676,0.178241034,0.1841708158,,,,
28,0.0,-782.569824,-729.736877,188.791824,0.9662542189,0.1800941285,0.1841708158,,,,
29,0.0,-779.320679,-729.374023,189.306641,0.9662542189,0.1800941285,0.1841708158,,,,
30,0.0,-775.725037,-728.780151,189.644104,0.9659071143,0.1809878335,0.1851130752,,,,
31,0.0,-771.818909,-728.324585,190.253738,0.9657331494,0.1819138081,0.1851130752,,,,
32,0.0,-768.736206,-728.179138,190.790466,0.9652077738,0.1837319666,0.1860551474,,,,
33,0.0,-764.77832,-727.66748,191.198868,0.9652077738,0.1837319666,0.1860551474,,,,
34,0.0,-761.783508,-727.249817,191.517746,0.9636085642,0.188218573,0.1898217685,,,,
35,0.0,-758.298889,-726.760132,191.793503,0.9636085642,0.188218573,0.1898217685,,,,
36,0.0,-754.892212,-726.128418,192.092407,0.963249566,0.188148451,0.1917040271,,,,
37,0.0,-751.368164,-725.550659,192.34787,0.961791955,0.1926546957,0.1945260998,,,,
38,0.0,-747.962524,-724.963562,192.471512,0.9589771629,0.2016725503,0.199225961,,,,
39,0.0,-744.704529,-724.358826,192.329666,0.9550829854,0.2113952559,0.2076741122,,,,
40,0.0,-740.974182,-723.544861,192.300797,0.9550829854,0.2113952559,0.2076741122,,,,
41,0.0,-737.794434,-722.834473,192.276169,0.9550829854,0.2113952559,0.2076741122,,,,
42,0.0,-734.390991,-722.044861,192.162735,0.9550829854,0.2113952559,0.2076741122,,,,
