timestamp,is_bot,loc_x,loc_y,loc_z,s_x,s_y,s_z,d_a,d_p,d_e,tar
0,0.0,-2270.585693,-497.0,11551.967773,1.0,0.0,0.0,,,,
1,0.0,-2270.650391,-497.0,11551.841797,1.0,0.0,0.0,,,,
2,0.0,-2270.749756,-497.0,11551.87207,1.0,0.0,0.0,,,,
3,0.0,-2270.795654,-497.0,11551.648438,1.0,0.0,0.0,,,,
4,0.0,-2270.869385,-497.0,11551.588867,1.0,0.0,0.0,,,,
5,0.0,-2270.946045,-497.0,11551.5625,1.0,0.0,0.0,,,,
6,0.0,-2271.035645,-497.0,11551.482422,1.0,0.0,0.0,,,,
7,0.0,-2271.069092,-497.0,11551.461914,1.0,0.0,0.0,,,,
8,0.0,-2271.170654,-497.0,11551.43457,1.0,0.0,0.0,,,,
9,0.0,-2271.268066,-497.0,11551.458984,1.0,0.0,0.0,,,,
10,0.0,-2271.241943,-497.0,11551.466797,1.0,0.0,0.0,,,,
11,0.0,-2271.274902,-497.0,11551.5,1.0,0.0,0.0,,,,
12,0.0,-2271.312744,-497.0,11551.508789,1.0,0.0,0.0,,,,
13,0.0,-2271.393311,-497.0,11551.523438,1.0,0.0,0.0,,,,
14,0.0,-2271.393066,-497.005493,11551.588867,1.0,0.0,0.0,,,,
15,0.0,-2271.372314,-497.016663,11551.607422,1.0,0.0,0.0,,,,
16,0.0,-2271.271484,-497.079498,11551.712891,0.9998752902,-0.0076690956,-0.0138053951,,,,
17,0.0,-2271.2462155,-497.10556,11551.7368165,0.9998752902,-0.0076690956,-0.0138053951,,,,
18,0.0,-2271.245361,-497.147583,11551.832031,0.9991895743,-0.0260624541,-0.0306747945,,,,
19,0.0,-2271.2215575,-497.1626435,11551.8671875,0.9991895743,-0.0260624541,-0.0306747945,,,,
20,0.0,-2271.242676,-497.181213,11551.984375,0.9977979207,-0.0428832622,-0.0505997556,,,,
21,0.0,-2271.250122,-497.180847,11552.0214845,0.9977979207,-0.0428832622,-0.0505997556,,,,
22,0.0,-2271.294922,-497.178589,11552.095703,0.9969158359,-0.0489753345,-0.0613207363,,,,
23,0.0,-2271.301025,-497.178314,11552.139648,0.9969158359,-0.0489753345,-0.0613207363,,,,
24,0.0,-2271.326904,-497.177032,11552.164062,0.9968207111,-0.0489706613,-0.0628517641,,,,
25,0.0,-2271.325684,-497.177094,11552.181641,0.9968207111,-0.0489706613,-0.0628517641,,,,
26,0.0,-2271.310791,-497.177826,11552.192383,0.9968207111,-0.0489706613,-0.0628517641,,,,
27,0.0,-2271.311523,-497.177826,11552.206055,0.9966234259,-0.0489609693,-0.065913355,,,,
28,0.0,-2271.280518,-497.179352,11552.205078,0.9966234259,-0.0489609693,-0.065913355,,,,
29,0.0,-2271.265869,-497.180023,11552.199219,0.9966234259,-0.0489609693,-0.065913355,,,,
30,0.0,-2271.234619,-497.18158,11552.170898,0.9966234259,-0.0489609693,-0.065913355,,,,
31,0.0,-2271.175537,-497.18454,11552.129883,0.9966234259,-0.0489609693,-0.065913355,,,,
32,0.0,-2271.159668,-497.185272,11552.075195,0.9966234259,-0.0489609693,-0.065913355,,,,
33,0.0,-2271.094238,-497.188507,11552.027344,0.9966234259,-0.0489609693,-0.065913355,,,,
34,0.0,-2271.099365,-497.188232,11551.970703,0.9966234259,-0.0489609693,-0.065913355,,,,
35,0.0,-2271.069336,-497.189728,11551.930664,0.9966234259,-0.0489609693,-0.065913355,,,,
36,0.0,-2271.040771,-497.191132,11551.910156,0.9966234259,-0.0489609693,-0.065913355,,,,
37,0.0,-2271.005371,-497.192871,11551.882812,0.9966234259,-0.0489609693,-0.065913355,,,,
38,0.0,-2270.983398,-497.193909,11551.882812,0.9966234259,-0.0489609693,-0.065913355,,,,
39,0.0,-2270.921631,-497.197021,11551.849609,0.9966234259,-0.0489609693,-0.065913355,,,,
40,0.0,-2270.867432,-497.199677,11551.835938,0.9966234259,-0.0489609693,-0.065913355,,,,
41,0.0,-2270.871826,-497.199463,11551.838867,0.9966234259,-0.0489609693,-0.065913355,,,,
42,0.0,-2270.809082,-497.202545,11551.84375,0.9966234259,-0.0489609693,-0.065913355,,,,
43,0.0,-2270.763916,-497.204742,11551.849609,0.9966234259,-0.0489609693,-0.065913355,,,,
44,0.0,-2270.719482,-497.20694,11551.917969,0.9966234259,-0.0489609693,-0.065913355,,,,
45,0.0,-2270.68457,-497.208649,11551.954102,0.9966234259,-0.0489609693,-0.065913355,,,,
46,0.0,-2270.674316,-497.209167,11551.96582,0.9966234259,-0.0489609693,-0.065913355,,,,
47,0.0,-2270.632568,-497.211212,11552.022461,0.9966234259,-0.0489609693,-0.065913355,,,,
48,0.0,-2270.242432,-497.230438,11552.323242,0.9966234259,-0.0489609693,-0.065913355,,,,
49,0.0,-2270.185791,-497.233154,11552.342773,0.9966234259,-0.0489609693,-0.065913355,,,,
50,0.0,-2270.041016,-497.240326,11552.380859,0.9966234259,-0.0489609693,-0.065913355,,,,
51,0.0,-2269.876221,-497.248383,11552.404297,0.9966234259,-0.0489609693,-0.065913355,,,,
52,0.0,-2269.615234,-497.26123,11552.443359,0.9966234259,-0.0489609693,-0.065913355,,,,
53,0.0,-2269.312256,-497.276123,11552.481445,0.9966234259,-0.0489609693,-0.065913355,,,,
54,0.0,-2269.006348,-497.291199,11552.510742,0.9966234259,-0.0489609693,-0.065913355,,,,
55,0.0,-2268.75415,-497.303619,11552.574219,0.9966234259,-0.0489609693,-0.065913355,,,,
56,0.0,-2268.7388915,-497.299606,11552.5913085,0.9966234259,-0.0489609693,-0.065913355,,,,
57,0.0,-2268.723633,-497.295593,11552.608398,0.9966234259,-0.0489609693,-0.065913355,,,,
58,0.0,-2268.75415,-497.275482,11552.657227,0.9966973588,-0.0474321046,-0.065913355,,,,
59,0.0,-2268.78833,-497.264557,11552.706055,0.9966973588,-0.0474321046,-0.065913355,,,,
60,0.0,-2268.791382,-497.264435,11552.725586,0.9969257748,-0.0466764958,-0.0628514596,,,,
61,0.0,-2268.973633,-497.719574,11552.685547,0.9988132599,-0.0429268994,-0.0230076749,,,,
62,0.0,-2269.053345,-497.8628235,11552.6796875,0.998940204,-0.0429323552,-0.0092028733,,,,
63,0.0,-2269.378174,-498.22699,11552.662109,0.9989354996,-0.042932153,0.0168729901,,,,
64,0.0,-2269.624756,-498.47464,11552.643555,0.9989354996,-0.042932153,0.0168729901,,,,
65,0.0,-2269.819824,-498.636688,11552.620117,0.9989354996,-0.042932153,0.0168729901,,,,
66,0.0,-2270.067627,-498.83075,11552.609375,0.9989354996,-0.042932153,0.0168729901,,,,
67,0.0,-2270.218994,-498.983612,11552.602539,0.9989354996,-0.042932153,0.0168729901,,,,
68,0.0,-2270.486572,-499.108124,11552.607422,0.9989354996,-0.042932153,0.0168729901,,,,
69,0.0,-2270.53125,-499.191254,11552.613281,0.9989354996,-0.042932153,0.0168729901,,,,
70,0.0,-2270.67627,-499.283203,11552.605469,0.9989354996,-0.042932153,0.0168729901,,,,
71,0.0,-2270.802734,-499.360413,11552.633789,0.9989354996,-0.042932153,0.0168729901,,,,
72,0.0,-2270.985107,-499.430725,11552.704102,0.9985687094,-0.0475211608,0.0245412285,,,,
73,0.0,-2271.177002,-499.481079,11552.790039,0.9985310635,-0.0490546855,0.0230076749,,,,
74,0.0,-2271.306641,-499.540192,11552.853516,0.9985310635,-0.0490546855,0.0230076749,,,,
75,0.0,-2271.511963,-499.63501,11552.935547,0.9985310635,-0.0490546855,0.0230076749,,,,
76,0.0,-2271.64209,-499.673584,11552.964844,0.9984546394,-0.0505863612,0.0230076749,,,,
77,0.0,-2271.766846,-499.715424,11553.012695,0.9984099372,-0.052119679,0.0214740846,,,,
78,0.0,-2271.924561,-499.778076,11553.057617,0.9982770541,-0.0551842612,0.0199404264,,,,
79,0.0,-2272.0979,-499.806976,11553.091797,0.9979477241,-0.0628470315,0.0122715383,,,,
80,0.0,-2272.247314,-499.783813,11553.112305,0.9979477241,-0.0628470315,0.0122715383,,,,
81,0.0,-2272.384033,-499.761566,11553.121094,0.9979477241,-0.0628470315,0.0122715383,,,,
82,0.0,-2272.506104,-499.746368,11553.138672,0.9979477241,-0.0628470315,0.0122715383,,,,
83,0.0,-2272.534668,-499.684845,11553.103516,0.9979477241,-0.0628470315,0.0122715383,,,,
84,0.0,-2272.487305,-499.627625,11553.058594,0.9979477241,-0.0628470315,0.0122715383,,,,
85,0.0,-2272.478271,-499.621277,11553.053711,0.9979477241,-0.0628470315,0.0122715383,,,,
86,0.0,-2272.377197,-499.534912,11553.016602,0.9979477241,-0.0628470315,0.0122715383,,,,
87,0.0,-2272.15332,-499.329865,11552.958008,0.9979477241,-0.0628470315,0.0122715383,,,,
88,0.0,-2272.046631,-499.233948,11552.948242,0.9979477241,-0.0628470315,0.0122715383,,,,
89,0.0,-2272.02417,-499.21347,11552.946289,0.9979477241,-0.0628470315,0.0122715383,,,,
90,0.0,-2271.744141,-498.929382,11552.916016,0.9979477241,-0.0628470315,0.0122715383,,,,
91,0.0,-2271.591553,-498.75708,11552.90625,0.9979477241,-0.0628470315,0.0122715383,,,,
92,0.0,-2271.521973,-498.669617,11552.90332,0.9979477241,-0.0628470315,0.0122715383,,,,
93,0.0,-2271.395752,-498.507629,11552.899414,0.9979477241,-0.0628470315,0.0122715383,,,,
94,0.0,-2271.360352,-498.461945,11552.897461,0.9979477241,-0.0628470315,0.0122715383,,,,
95,0.0,-2271.271729,-498.347504,11552.896484,0.9979477241,-0.0628470315,0.0122715383,,,,
96,0.0,-2271.186035,-498.231232,11552.898438,0.9979477241,-0.0628470315,0.0122715383,,,,
97,0.0,-2271.105469,-498.115875,11552.911133,0.9979477241,-0.0628470315,0.0122715383,,,,
98,0.0,-2271.052246,-498.010712,11552.922852,0.9979477241,-0.0628470315,0.0122715383,,,,
99,0.0,-2271.049072,-497.9902955,11552.9174805,0.9979477241,-0.0628470315,0.0122715383,,,,
100,0.0,-2271.051758,-497.948761,11552.894531,0.9979477241,-0.0628470315,0.0122715383,,,,
101,0.0,-2271.0600585,-497.9420775,11552.887695,0.9979477241,-0.0628470315,0.0122715383,,,,
102,0.0,-2271.141602,-497.955841,11552.850586,0.9979477241,-0.0628470315,0.0122715383,,,,
103,0.0,-2271.216797,-497.980347,11552.817383,0.9979477241,-0.0628470315,0.0122715383,,,,
104,0.0,-2271.202881,-497.974854,11552.824219,0.9979477241,-0.0628470315,0.0122715383,,,,
105,0.0,-2271.399902,-498.081238,11552.773438,0.9979477241,-0.0628470315,0.0122715383,,,,
106,0.0,-2271.467041,-498.117676,11552.756836,0.9979477241,-0.0628470315,0.0122715383,,,,
107,0.0,-2271.567627,-498.193115,11552.763672,0.9979477241,-0.0628470315,0.0122715383,,,,
108,0.0,-2271.690186,-498.273804,11552.75,0.9979477241,-0.0628470315,0.0122715383,,,,
109,0.0,-2271.775391,-498.343384,11552.762695,0.9979477241,-0.0628470315,0.0122715383,,,,
110,0.0,-2271.880859,-498.419556,11552.780273,0.9979477241,-0.0628470315,0.0122715383,,,,
111,0.0,-2271.956787,-498.475494,11552.789062,0.9979477241,-0.0628470315,0.0122715383,,,,
112,0.0,-2272.067383,-498.551483,11552.835938,0.9979477241,-0.0628470315,0.0122715383,,,,
113,0.0,-2272.193359,-498.630554,11552.901367,0.9979477241,-0.0628470315,0.0122715383,,,,
114,0.0,-2272.246338,-498.671204,11552.942383,0.9979477241,-0.0628470315,0.0122715383,,,,
115,0.0,-2272.318359,-498.737427,11553.013672,0.9979477241,-0.0628470315,0.0122715383,,,,
116,0.0,-2272.352051,-498.780579,11553.05957,0.9979477241,-0.0628470315,0.0122715383,,,,
117,0.0,-2272.374756,-498.835663,11553.125,0.9979477241,-0.0628470315,0.0122715383,,,,
118,0.0,-2272.375977,-498.878754,11553.174805,0.9979477241,-0.0628470315,0.0122715383,,,,
119,0.0,-2272.358643,-498.917145,11553.21875,0.9979477241,-0.0628470315,0.0122715383,,,,
120,0.0,-2272.326172,-498.956818,11553.261719,0.9979477241,-0.0628470315,0.0122715383,,,,
121,0.0,-2272.318604,-498.969543,11553.272461,0.9979477241,-0.0628470315,0.0122715383,,,,
122,0.0,-2272.29541,-498.995514,11553.296875,0.9979477241,-0.0628470315,0.0122715383,,,,
123,0.0,-2272.289307,-499.009918,11553.307617,0.9979477241,-0.0628470315,0.0122715383,,,,
