timestamp,event,src,dst
36,fire,4,
54,fire,2,
90,fire,4,
153,fire,3,
156,fire,5,
161,fire,5,
161,hit,3,5.0
167,fire,5,
169,fire,3,
173,fire,2,
173,hit,5,2.0
174,fire,5,
174,hit,3,5.0
179,fire,5,
179,hit,3,5.0
184,fire,5,
184,hit,3,5.0
186,fire,3,
192,fire,5,
196,fire,5,
201,fire,3,
204,fire,5,
209,fire,0,
213,fire,5,
213,hit,3,5.0
213,dead,3,5.0
215,fire,0,
216,hit,7,0.0
218,fire,5,
220,fire,7,
223,fire,0,
223,hit,7,0.0
226,fire,2,
226,hit,5,2.0
226,fire,5,
226,fire,7,
226,hit,0,7.0
228,fire,0,
228,hit,7,0.0
228,dead,7,0.0
234,fire,0,
242,fire,0,
260,fire,5,
271,fire,5,
277,fire,2,
280,fire,5,
280,hit,2,5.0
288,fire,5,
288,hit,2,5.0
297,fire,5,
297,hit,2,5.0
306,fire,5,
306,hit,2,5.0
315,fire,5,
329,fire,5,
329,hit,2,5.0
329,dead,2,5.0
340,fire,5,
552,fire,0,
559,fire,0,
565,fire,0,
571,fire,0,
583,fire,6,
583,hit,1,6.0
592,fire,6,
592,hit,1,6.0
592,dead,1,6.0
700,fire,0,
700,hit,2,0.0
708,fire,0,
713,fire,0,
713,hit,2,0.0
713,fire,2,
720,fire,0,
720,hit,2,0.0
720,dead,2,0.0
725,fire,0,
732,fire,0,
812,fire,1,
823,fire,1,
830,fire,1,
840,fire,1,
840,hit,7,1.0
848,fire,1,
848,hit,7,1.0
852,fire,6,
857,fire,6,
859,fire,1,
865,fire,6,
865,hit,5,6.0
870,fire,6,
870,hit,5,6.0
870,dead,5,6.0
872,fire,1,
872,hit,7,1.0
872,dead,7,1.0
878,fire,6,
883,fire,6,
883,fire,1,
892,fire,1,
1048,fire,0,
1051,fire,4,
1051,hit,3,4.0
1054,fire,0,
1057,fire,4,
1057,hit,3,4.0
1061,fire,0,
1061,hit,3,0.0
1063,fire,4,
1068,fire,4,
1068,hit,3,4.0
1073,fire,4,
1073,hit,3,4.0
1076,fire,0,
1079,fire,4,
1079,hit,3,4.0
1081,fire,0,
1084,fire,4,
1084,hit,3,4.0
1084,dead,3,4.0
1085,fire,4,
1090,fire,4,
1096,fire,4,
1098,fire,0,
1102,fire,4,
1104,fire,0,
1328,fire,0,
1335,fire,0,
1340,fire,3,
1340,hit,0,3.0
1343,fire,0,
1348,fire,0,
1353,fire,0,
1356,fire,3,
1356,hit,0,3.0
1356,dead,0,3.0
1378,fire,6,
1378,hit,4,6.0
1378,dead,4,6.0
1413,fire,2,
1787,fire,6,
1787,hit,1,6.0
1787,dead,1,6.0
1961,fire,7,
1984,fire,3,
2004,fire,3,
2004,fire,2,
2020,fire,3,
2036,fire,3,
2110,fire,5,
2110,hit,2,5.0
2113,fire,4,
2113,hit,3,4.0
2116,fire,5,
2120,fire,4,
2120,fire,3,
2122,fire,4,
2125,fire,5,
2128,fire,4,
2129,fire,7,
2133,fire,5,
2133,hit,2,5.0
2133,dead,2,5.0
2133,fire,4,
2134,fire,3,
2134,hit,4,3.0
2136,fire,4,
2138,fire,5,
2140,fire,4,
2143,fire,7,
2145,fire,6,
2148,fire,4,
2149,fire,3,
2149,hit,4,3.0
2149,dead,4,3.0
2149,fire,5,
2157,fire,7,
2160,fire,5,
2165,fire,7,
2168,fire,5,
2168,hit,6,5.0
2173,fire,6,
2173,hit,5,6.0
2173,dead,5,6.0
2189,fire,6,
2390,fire,0,
2390,hit,7,0.0
2412,fire,0,
2413,hit,7,0.0
2413,fire,7,
2415,fire,1,
2418,fire,7,
2423,fire,7,
2428,fire,6,
2435,fire,0,
2435,hit,7,0.0
2435,dead,7,0.0
2452,fire,1,
2457,fire,0,
2457,hit,6,0.0
2467,fire,1,
2476,fire,0,
2481,fire,1,
2487,fire,6,
2487,hit,0,6.0
2487,dead,0,6.0
2496,fire,1,
2505,fire,1,
2821,fire,0,
2828,fire,0,
2828,hit,2,0.0
2834,fire,0,
2834,hit,2,0.0
2840,fire,0,
2840,fire,2,
2845,fire,6,
2847,fire,0,
2847,hit,2,0.0
2847,dead,2,0.0
2847,fire,6,
2849,fire,6,
2852,fire,0,
2859,fire,0,
2859,hit,3,0.0
2866,fire,0,
2872,fire,0,
2872,hit,3,0.0
2878,fire,0,
2878,hit,3,0.0
2878,fire,3,
2884,fire,0,
2884,hit,3,0.0
2884,dead,3,0.0
2891,fire,0,
2897,fire,0,
2903,fire,0,
3137,fire,2,
3137,hit,4,2.0
3140,fire,4,
3145,fire,4,
3151,fire,4,
3151,hit,2,4.0
3153,fire,2,
3153,hit,4,2.0
3153,dead,4,2.0
3166,fire,2,
3439,fire,3,
3447,fire,4,
3449,fire,6,
3449,hit,5,6.0
3453,fire,4,
3453,hit,3,4.0
3455,fire,3,
3455,hit,4,3.0
3457,fire,6,
3457,hit,5,6.0
3457,dead,5,6.0
3459,fire,4,
3463,fire,4,
3466,fire,6,
3468,fire,4,
3472,fire,3,
3472,hit,4,3.0
3472,dead,4,3.0
3475,fire,6,
3500,fire,7,
3505,fire,1,
3505,hit,7,1.0
3509,fire,7,
3509,hit,1,7.0
3513,fire,1,
3513,fire,7,
3513,hit,1,7.0
3518,fire,7,
3518,hit,1,7.0
3520,fire,1,
3524,fire,7,
3528,fire,1,
3530,fire,7,
3533,fire,1,
3533,hit,7,1.0
3535,fire,7,
3540,fire,1,
3540,hit,7,1.0
3542,fire,7,
3547,fire,7,
3549,fire,1,
3551,fire,7,
3557,fire,7,
3559,fire,1,
3563,fire,7,
3566,fire,1,
3569,fire,7,
3575,fire,1,
3575,fire,7,
3580,fire,7,
3582,fire,1,
3587,fire,7,
3590,fire,1,
3600,fire,7,
3600,hit,1,7.0
3600,dead,1,7.0
3614,fire,3,
3616,fire,7,
3633,fire,3,
3957,fire,6,
3965,fire,6,
3965,hit,0,6.0
3968,fire,0,
3968,hit,6,0.0
3969,fire,3,
3974,fire,0,
3974,hit,6,0.0
3974,fire,6,
3981,fire,0,
3981,hit,6,0.0
3981,dead,6,0.0
3983,fire,3,
3988,fire,0,
3994,fire,0,
3999,fire,0,
4013,fire,0,
4021,fire,0,
4021,hit,2,0.0
4025,fire,0,
4027,fire,2,
4032,fire,0,
4032,hit,2,0.0
4038,fire,0,
4038,hit,2,0.0
4042,fire,2,
4042,hit,0,2.0
4042,dead,0,2.0
4058,fire,2,
4073,fire,2,
4128,fire,1,
4139,fire,1,
4139,hit,3,1.0
4150,fire,1,
4150,hit,3,1.0
4154,fire,3,
4161,fire,1,
4163,fire,5,
4171,fire,3,
4173,fire,1,
4173,hit,3,1.0
4173,dead,3,1.0
4175,fire,5,
4181,fire,1,
4181,fire,5,
4191,fire,5,
4194,fire,7,
4194,hit,4,7.0
4196,fire,1,
4199,fire,5,
4207,fire,7,
4207,hit,4,7.0
4214,fire,7,
4222,fire,7,
4222,hit,4,7.0
4235,fire,7,
4235,hit,4,7.0
4248,fire,7,
4256,fire,4,
4258,fire,7,
4260,fire,4,
4260,hit,7,4.0
4265,fire,4,
4271,fire,4,
4271,fire,7,
4271,hit,4,7.0
4271,dead,4,7.0
4284,fire,7,
4332,fire,2,
4348,fire,2,
4364,fire,2,
4379,fire,2,
4394,fire,2,
4447,fire,0,
4455,fire,0,
4460,fire,0,
4468,fire,0,
4472,fire,0,
4472,hit,3,0.0
4479,fire,0,
4485,fire,0,
4491,fire,0,
4498,fire,0,
4498,hit,3,0.0
4504,fire,0,
4505,hit,3,0.0
4510,fire,0,
4510,hit,3,0.0
4510,dead,3,0.0
4516,fire,0,
4522,fire,0,
4529,fire,0,
4607,fire,6,
4614,fire,6,
4617,fire,2,
4626,fire,6,
4626,hit,1,6.0
4633,fire,2,
4640,fire,6,
4640,hit,1,6.0
4640,dead,1,6.0
4648,fire,2,
4658,fire,6,
4665,fire,2,
4680,fire,2,
4753,fire,6,
4753,hit,5,6.0
4759,fire,6,
4765,fire,6,
4770,fire,6,
4770,hit,5,6.0
4780,fire,6,
4780,hit,5,6.0
4806,fire,6,
4823,fire,6,
4823,hit,5,6.0
4823,dead,5,6.0
4839,fire,6,
4845,fire,6,
4889,fire,1,
4992,fire,0,
4999,fire,0,
5005,fire,0,
5005,hit,6,0.0
5005,dead,6,0.0
5011,fire,0,
5017,fire,0,
5024,fire,0,
5024,hit,2,0.0
5024,dead,2,0.0
5030,fire,0,
5036,fire,0,
5043,fire,0,
5175,fire,7,
5320,fire,7,
5326,fire,7,
5330,fire,4,
5333,fire,7,
5334,fire,0,
5338,fire,4,
5341,fire,7,
5341,fire,0,
5341,hit,2,0.0
5343,fire,4,
5345,fire,0,
5345,hit,2,0.0
5347,fire,7,
5351,fire,0,
5351,hit,2,0.0
5351,fire,4,
5351,hit,7,4.0
5351,dead,7,4.0
5353,fire,2,
5353,hit,0,2.0
5355,fire,0,
5357,fire,4,
5360,fire,0,
5362,fire,4,
5364,fire,0,
5367,fire,0,
5367,hit,2,0.0
5369,fire,4,
5372,fire,0,
5377,fire,0,
5377,hit,2,0.0
5377,dead,2,0.0
5380,fire,0,
5385,fire,0,
5390,fire,5,
5391,fire,0,
5395,fire,0,
5397,fire,5,
5400,fire,0,
5402,fire,5,
5404,fire,6,
5406,fire,5,
5409,fire,6,
